Geneid,Auxin1,Auxin2,Control1,Control2
FBgn0051792,23,21,22,20
FBgn0051793,1670,1733,1120,1379
FBgn0028569,0,2,1,0
FBgn0032740,2,0,0,1
FBgn0032741,0,0,3,0
FBgn0002022,1103,1188,917,1062
FBgn0032746,366,466,289,296
FBgn0032748,1479,1648,1247,1315
FBgn0032749,152,145,127,119
FBgn0032750,338,440,314,348
FBgn0032751,287,338,239,258
FBgn0032755,0,0,0,0
FBgn0000075,14,14,15,9
FBgn0002036,86,71,113,115
FBgn0010300,6220,6561,7293,8058
FBgn0002031,1860,1972,2015,2347
FBgn0000422,64,75,46,47
FBgn0002023,12,27,21,19
FBgn0032754,0,0,1,1
FBgn0053315,0,0,0,0
FBgn0032753,0,0,0,1
FBgn0032752,646,657,435,445
FBgn0002021,428,415,309,370
FBgn0032744,263,293,125,127
FBgn0051800,324,387,238,266
FBgn0001202,703,694,483,544
FBgn0046302,1,1,2,1
FBgn0032733,1,2,0,1
FBgn0032731,6842,7509,6353,6771
FBgn0032729,1420,1754,1176,1270
FBgn0015772,1310,1525,1153,1412
FBgn0032727,124,142,88,97
FBgn0032726,771,744,909,996
FBgn0032725,399,464,326,353
FBgn0032723,734,915,568,726
FBgn0010309,412,433,498,537
FBgn0015380,425,486,404,439
FBgn0032769,0,0,0,0
FBgn0032770,5,4,3,9
FBgn0032771,0,0,0,0
FBgn0032772,23,33,15,21
FBgn0051798,3,8,5,5
FBgn0016675,3,5,2,0
FBgn0032780,52,59,79,76
FBgn0032779,311,338,345,373
FBgn0032781,915,1095,557,708
FBgn0032782,1052,1360,861,1022
FBgn0032783,57,83,62,69
FBgn0032775,2115,2218,2695,2786
FBgn0032774,116,136,86,112
FBgn0032773,386,385,317,306
FBgn0024245,397,433,436,473
FBgn0032768,0,0,0,0
FBgn0051797,0,1,0,0
FBgn0010097,30,27,18,22
FBgn0003346,651,734,525,603
FBgn0032785,307,389,167,248
FBgn0000964,14,13,9,7
FBgn0032788,0,0,3,0
FBgn0032791,41,50,39,44
FBgn0002044,1188,1357,1190,1150
FBgn0040268,427,411,366,417
FBgn0032798,18,15,16,17
FBgn0032800,809,894,749,789
FBgn0053116,557,639,424,482
FBgn0051697,89,89,54,80
FBgn0032803,34,50,40,42
FBgn0032804,1,4,1,2
FBgn0041180,3481,4323,3560,4125
FBgn0032809,0,2,0,2
FBgn0032810,26,27,31,30
FBgn0027949,382,357,331,266
FBgn0032814,403,420,368,442
FBgn0000464,381,373,372,411
FBgn0005590,0,0,0,1
FBgn0032813,11,11,18,12
FBgn0032811,212,243,170,172
FBgn0032805,366,381,355,327
FBgn0032801,2157,2501,2507,2739
FBgn0032799,407,498,343,417
FBgn0032797,9,13,10,18
FBgn0032796,647,669,652,652
FBgn0032793,490,565,325,445
FBgn0032790,244,245,218,227
FBgn0032787,187,188,175,181
FBgn0024230,451,522,459,507
FBgn0032816,203,212,202,193
FBgn0032819,319,312,232,318
FBgn0032822,133,155,158,110
FBgn0003931,7451,6886,6954,8248
FBgn0003923,20058,19815,20057,23844
FBgn0043021,1066,1124,1202,1310
FBgn0032833,498,561,509,583
FBgn0032835,2,4,2,1
FBgn0032836,1,3,0,0
FBgn0014000,53,41,30,25
FBgn0042129,0,0,0,1
FBgn0032834,0,0,0,0
FBgn0053117,0,0,0,0
FBgn0044811,3,7,1,1
FBgn0032827,0,0,0,0
FBgn0003922,19250,19013,19275,23010
FBgn0032824,2,4,5,3
FBgn0043022,2750,2788,2919,3118
FBgn0004811,721,865,746,761
FBgn0032821,3614,4144,3551,4012
FBgn0032820,1309,1439,1829,1969
FBgn0032818,218,257,215,214
FBgn0032817,2463,2669,2586,2955
FBgn0032840,33,34,24,26
FBgn0019686,773,831,829,852
FBgn0045064,1984,2221,1479,1956
FBgn0004374,333,351,379,418
FBgn0032846,159,181,150,197
FBgn0032848,373,303,327,324
FBgn0032850,20,11,9,9
FBgn0032849,165,185,208,221
FBgn0032847,541,594,480,562
FBgn0032845,232,265,228,223
FBgn0032843,24,19,25,29
FBgn0003978,306,358,309,378
FBgn0014127,425,419,418,415
FBgn0032839,0,0,3,1
FBgn0040996,0,0,0,0
FBgn0003475,2541,2882,2897,2858
FBgn0015803,1469,1582,1515,1578
FBgn0032857,864,1130,1053,1546
FBgn0032856,0,3,4,5
FBgn0026756,20,14,20,22
FBgn0011638,1152,1231,1076,1269
FBgn0032853,0,0,0,0
FBgn0032867,0,0,0,0
FBgn0032868,1,1,0,2
FBgn0051680,1,0,1,0
FBgn0032870,503,642,397,503
FBgn0042133,526,592,528,517
FBgn0032871,898,885,617,694
FBgn0032873,468,551,540,595
FBgn0032877,428,431,310,391
FBgn0032880,661,761,685,817
FBgn0032879,152,137,143,141
FBgn0032878,39,39,24,22
FBgn0014859,922,1133,968,1139
FBgn0032876,950,1153,817,927
FBgn0051678,862,993,720,865
FBgn0016054,222,245,209,222
FBgn0032869,97,93,79,85
FBgn0051677,1,1,0,0
FBgn0032882,369,428,330,358
FBgn0011202,1568,1545,1515,1639
FBgn0000251,69,57,114,90
FBgn0032884,606,720,554,602
FBgn0032886,8528,8852,8656,8874
FBgn0032889,999,1186,1023,997
FBgn0051673,114,142,150,131
FBgn0051674,1091,1435,1471,1585
FBgn0051676,37,32,26,14
FBgn0032894,1,1,1,0
FBgn0032895,128,180,40,36
FBgn0032897,27,42,12,17
FBgn0032899,51,53,35,34
FBgn0051675,3,6,3,8
FBgn0032900,250,308,146,136
FBgn0032908,43,32,17,14
FBgn0032901,2177,2421,3063,3232
FBgn0028986,0,0,0,1
FBgn0032891,0,1,0,0
FBgn0067312,0,2,1,0
FBgn0053322,0,0,1,1
FBgn0032883,670,661,579,661
FBgn0032881,221,314,193,251
FBgn0010395,476,495,600,604
FBgn0032911,2,1,2,1
FBgn0032913,22,6,7,8
FBgn0032916,392,479,425,436
FBgn0040297,1139,1194,945,1006
FBgn0032919,1032,1229,837,911
FBgn0032921,208,240,171,170
FBgn0032923,278,343,195,209
FBgn0032925,679,870,786,792
FBgn0010100,1154,1268,1142,1232
FBgn0051627,94,72,78,72
FBgn0032929,431,421,412,397
FBgn0026255,9,6,5,4
FBgn0026577,1773,1858,1661,1665
FBgn0021856,527,540,438,464
FBgn0032938,2219,2553,2382,2598
FBgn0051626,5,5,3,4
FBgn0032935,1028,1021,1287,1310
FBgn0032934,654,646,640,632
FBgn0003930,11353,10754,10941,12451
FBgn0051988,2,4,3,4
FBgn0051624,2,1,2,2
FBgn0011829,75,51,27,28
FBgn0000239,1815,1933,1605,1812
FBgn0032924,1356,1347,992,1221
FBgn0032922,72,67,61,63
FBgn0024371,444,536,463,469
FBgn0023388,836,904,943,946
FBgn0032910,174,166,77,106
FBgn0023091,5,9,9,11
FBgn0032943,1746,1814,1707,1822
FBgn0023090,26,40,25,24
FBgn0032945,21,26,12,17
FBgn0032946,30,38,67,90
FBgn0041245,1,0,1,0
FBgn0032940,7115,8037,6972,7320
FBgn0041336,41,55,47,41
FBgn0037501,0,0,0,0
FBgn0037502,0,0,0,0
FBgn0037503,0,1,0,0
FBgn0011999,6943,7277,8043,8760
FBgn0003885,1475,1529,1184,1357
FBgn0015570,3,7,0,2
FBgn0051146,83,84,54,48
FBgn0015568,824,933,659,833
FBgn0015571,44,60,40,35
FBgn0015572,32,43,35,43
FBgn0015831,0,0,1,0
FBgn0015574,0,2,0,1
FBgn0015575,2550,2751,2661,2918
FBgn0017456,77,69,55,75
FBgn0015576,1448,1677,1258,1301
FBgn0037506,105,129,109,159
FBgn0015577,5088,5055,4905,5768
FBgn0015569,3196,3535,3235,3531
FBgn0012001,9310,9662,11046,11812
FBgn0037504,631,684,553,626
FBgn0043853,45,45,34,45
FBgn0012000,9639,10136,11448,12238
FBgn0040670,32,37,41,49
FBgn0037472,722,816,559,683
FBgn0051248,30,28,21,21
FBgn0051494,6904,8190,7651,8343
FBgn0051493,1,0,1,0
FBgn0037475,1,0,0,0
FBgn0037478,345,351,267,334
FBgn0011020,530,472,432,501
FBgn0002306,22,27,15,21
FBgn0037483,9,13,10,14
FBgn0037487,40,39,47,57
FBgn0037488,1,1,1,2
FBgn0037490,187,185,180,186
FBgn0037492,144,154,130,172
FBgn0028400,0,0,0,2
FBgn0037493,0,1,0,0
FBgn0045843,1,1,0,0
FBgn0051496,0,0,0,0
FBgn0051501,0,2,1,0
FBgn0004172,0,0,0,0
FBgn0004173,0,0,0,0
FBgn0004174,0,0,1,0
FBgn0004175,0,0,0,0
FBgn0037500,0,0,0,0
FBgn0037498,0,0,0,0
FBgn0001112,88,113,97,115
FBgn0011282,0,0,3,1
FBgn0037491,88,142,96,95
FBgn0037489,383,479,425,433
FBgn0037486,8,11,21,25
FBgn0037485,4,0,3,9
FBgn0037482,897,1027,654,786
FBgn0037481,103,135,74,81
FBgn0037477,1,0,1,1
FBgn0051491,7959,9331,9058,9779
FBgn0037473,184,233,158,157
FBgn0014863,147,144,124,123
FBgn0000071,509,701,660,763
FBgn0000439,28,18,14,21
FBgn0026162,7134,8557,7591,8467
FBgn0026164,7150,8484,7522,8491
FBgn0000003,20869,22999,27198,29562
FBgn0001077,0,1,0,0
FBgn0024289,4,6,1,7
FBgn0026563,0,2,0,0
FBgn0037463,0,0,0,0
FBgn0037464,0,1,0,0
FBgn0037466,657,674,600,626
FBgn0037468,2140,2090,1926,2057
FBgn0037469,202,181,172,150
FBgn0003884,12860,12776,12147,13111
FBgn0037470,792,863,648,753
FBgn0010774,1205,1342,1139,1219
FBgn0037467,673,654,612,568
FBgn0037465,555,616,494,540
FBgn0003339,29,39,12,24
FBgn0011904,8671,10393,9111,10228
FBgn0026163,8646,10339,9096,10189
FBgn0000166,7,4,3,0
FBgn0004053,0,0,0,2
FBgn0004054,0,0,0,0
FBgn0037448,8,5,9,6
FBgn0037449,1,5,1,0
FBgn0046873,0,0,0,0
FBgn0051482,0,0,0,0
FBgn0037462,0,0,0,0
FBgn0051286,0,0,0,0
FBgn0010355,914,996,781,928
FBgn0004777,2,0,0,0
FBgn0004780,1,5,2,4
FBgn0004783,0,0,0,0
FBgn0004782,0,1,0,0
FBgn0004781,0,0,0,0
FBgn0004779,0,0,1,0
FBgn0004778,1,0,0,1
FBgn0024912,466,566,315,344
FBgn0026566,534,693,573,614
FBgn0026565,0,0,0,0
FBgn0037461,0,0,0,0
FBgn0037460,1,0,0,0
FBgn0037456,0,0,3,0
FBgn0053202,0,3,1,2
FBgn0037454,0,0,0,0
FBgn0011919,6490,6791,7147,6667
FBgn0037429,72,72,68,88
FBgn0037430,0,0,0,1
FBgn0037431,0,1,0,0
FBgn0037432,8,6,0,5
FBgn0037433,17,16,17,7
FBgn0037435,199,247,235,216
FBgn0037436,5,1,2,4
FBgn0037439,839,919,748,817
FBgn0010282,491,517,411,441
FBgn0037442,966,1125,890,1005
FBgn0037446,352,428,339,334
FBgn0037447,0,1,0,1
FBgn0037445,947,1005,821,922
FBgn0037443,3123,3364,3346,3479
FBgn0037440,338,316,289,310
FBgn0037512,0,0,0,0
FBgn0037514,0,0,0,0
FBgn0037515,2251,2538,2968,2999
FBgn0037517,2,0,6,0
FBgn0037518,876,919,718,772
FBgn0051472,376,486,313,340
FBgn0051473,99,105,70,74
FBgn0037526,246,301,263,255
FBgn0024909,415,444,348,381
FBgn0014931,154,218,116,151
FBgn0002542,593,605,505,539
FBgn0000504,103,114,144,127
FBgn0037531,359,427,236,258
FBgn0014930,507,526,358,388
FBgn0004901,775,893,834,948
FBgn0037530,871,789,831,934
FBgn0037529,159,176,157,144
FBgn0037521,8,3,2,6
FBgn0037520,24,19,33,43
FBgn0037519,65,88,167,218
FBgn0042101,9,11,21,25
FBgn0042103,2,5,1,1
FBgn0042105,0,0,0,1
FBgn0042102,10,12,5,3
FBgn0042104,26,36,16,15
FBgn0037516,0,0,0,0
FBgn0037513,464,495,527,622
FBgn0010401,1,2,4,1
FBgn0037535,471,529,369,458
FBgn0037536,560,610,509,626
FBgn0037538,367,428,322,375
FBgn0037540,565,572,413,438
FBgn0037543,106,121,96,120
FBgn0037546,110,126,216,237
FBgn0037547,40,47,87,68
FBgn0037548,353,406,972,1003
FBgn0037551,442,498,464,502
FBgn0037552,337,334,292,290
FBgn0037553,121,149,114,124
FBgn0037554,942,1094,898,1040
FBgn0040528,168,172,155,171
FBgn0037556,655,723,545,573
FBgn0001138,36,63,36,37
FBgn0011959,5457,6204,6012,6154
FBgn0011960,5300,5918,5723,5695
FBgn0011961,3381,3769,3390,3606
FBgn0011962,3663,4037,3840,3983
FBgn0011963,5545,6316,6134,6025
FBgn0051583,7848,8856,8476,8654
FBgn0037544,112,103,77,96
FBgn0037541,1567,1539,1209,1292
FBgn0001255,63,61,44,39
FBgn0037539,596,647,474,540
FBgn0040524,5,5,7,3
FBgn0037537,938,1103,1063,1005
FBgn0037534,70,96,58,62
FBgn0037533,3233,3186,3724,3814
FBgn0014861,583,507,512,426
FBgn0010433,0,1,0,0
FBgn0037562,45,71,9,20
FBgn0051464,1,2,0,0
FBgn0051463,1,0,1,1
FBgn0037566,318,351,241,308
FBgn0037572,0,0,0,0
FBgn0037573,676,753,646,693
FBgn0062412,9,7,8,4
FBgn0037576,3,0,2,0
FBgn0037577,0,2,2,0
FBgn0004908,335,337,246,320
FBgn0037579,20,17,6,7
FBgn0037580,955,1247,817,938
FBgn0037581,118,127,90,88
FBgn0020249,1356,1637,1280,1461
FBgn0037584,95,78,88,79
FBgn0037589,2,2,6,10
FBgn0037583,735,765,667,687
FBgn0037578,358,361,285,348
FBgn0040529,292,325,285,272
FBgn0003129,68,73,42,56
FBgn0037574,331,430,292,344
FBgn0037571,1,2,0,0
FBgn0037570,3,0,0,1
FBgn0037569,151,141,134,131
FBgn0037565,8,7,8,10
FBgn0037563,0,2,1,3
FBgn0037561,281,287,216,284
FBgn0010173,973,1092,669,745
FBgn0037592,376,390,464,499
FBgn0051454,59,51,80,100
FBgn0051259,7,9,13,18
FBgn0037594,0,0,0,0
FBgn0051460,227,282,251,207
FBgn0037602,182,184,164,173
FBgn0037603,504,569,537,643
FBgn0037606,330,364,401,411
FBgn0037607,3365,3476,3706,3978
FBgn0012024,14807,15103,22776,21615
FBgn0012025,13102,13688,20290,19081
FBgn0012026,13490,13585,21039,19812
FBgn0000447,464,552,503,486
FBgn0024326,645,775,791,832
FBgn0037601,26,30,18,18
FBgn0012027,12992,13359,20147,19040
FBgn0012028,10778,11020,16628,15427
FBgn0026399,0,0,0,1
FBgn0051450,209,241,248,233
FBgn0051453,778,828,701,747
FBgn0037591,0,0,0,0
FBgn0037590,0,0,1,0
FBgn0037608,264,314,249,287
FBgn0037610,133,133,152,158
FBgn0037611,57,58,63,79
FBgn0037612,1599,1811,2650,2908
FBgn0037614,638,809,626,713
FBgn0037615,36,54,33,35
FBgn0037616,150,158,102,117
FBgn0037617,166,153,167,169
FBgn0037618,32,33,33,42
FBgn0037619,187,196,196,185
FBgn0037622,365,375,378,385
FBgn0037624,825,859,834,969
FBgn0037626,4,0,2,3
FBgn0037630,1,0,1,0
FBgn0037632,1907,2115,2238,2499
FBgn0037634,455,389,518,550
FBgn0040532,486,584,603,653
FBgn0037638,602,651,604,658
FBgn0011966,8841,9776,11348,12463
FBgn0037637,1095,1487,1163,1339
FBgn0037633,215,227,203,231
FBgn0053189,5,5,8,13
FBgn0053191,7,3,14,21
FBgn0037627,1,2,3,1
FBgn0037625,0,0,0,0
FBgn0037623,297,481,398,501
FBgn0037621,373,416,399,436
FBgn0037620,85,105,106,86
FBgn0037613,681,740,750,811
FBgn0001180,53,95,46,74
FBgn0053325,0,1,0,0
FBgn0037609,618,802,566,684
FBgn0037643,895,991,1076,1043
FBgn0037646,887,896,1037,1189
FBgn0027503,679,753,723,750
FBgn0037648,588,722,650,761
FBgn0037650,0,0,0,0
FBgn0037652,400,456,458,494
FBgn0037653,480,572,528,637
FBgn0037654,45,38,58,42
FBgn0037656,147,184,150,158
FBgn0037657,480,511,517,630
FBgn0028708,741,795,853,830
FBgn0037659,7795,8137,8859,9902
FBgn0037661,149,183,159,151
FBgn0037662,0,0,0,0
FBgn0037664,6,6,4,2
FBgn0037665,2,4,0,1
FBgn0037666,0,1,0,0
FBgn0037667,131,147,144,146
FBgn0037670,216,243,212,233
FBgn0037671,931,1106,1037,1125
FBgn0010803,1217,1432,1154,1333
FBgn0037672,334,325,246,283
FBgn0037669,183,187,143,156
FBgn0037668,83,68,77,66
FBgn0000412,622,667,610,552
FBgn0003165,2871,3312,3945,4323
FBgn0037660,278,287,296,333
FBgn0010222,668,738,1284,1196
FBgn0002932,1968,2051,1888,1817
FBgn0040534,147,188,181,171
FBgn0037655,933,1107,1025,1097
FBgn0026380,601,711,551,640
FBgn0051100,14,33,14,24
FBgn0037647,505,506,469,487
FBgn0037644,441,477,495,495
FBgn0037675,0,0,1,0
FBgn0037680,514,573,610,645
FBgn0037683,420,610,441,497
FBgn0037684,25,24,42,30
FBgn0037685,2,12,2,2
FBgn0037687,146,115,140,183
FBgn0037689,0,0,0,0
FBgn0011740,437,521,550,610
FBgn0037697,40,40,37,37
FBgn0037696,57,69,69,71
FBgn0037690,1,1,0,0
FBgn0003889,211,181,131,160
FBgn0037688,273,231,268,313
FBgn0037686,1096,1261,1396,1432
FBgn0000723,7807,7802,8865,9979
FBgn0037679,294,300,270,312
FBgn0037678,50,42,34,38
FBgn0037677,5,3,7,7
FBgn0037676,70,64,13,15
FBgn0037700,624,753,759,731
FBgn0014022,136,152,128,119
FBgn0037703,215,230,220,253
FBgn0037702,440,445,455,496
FBgn0037707,330,373,368,353
FBgn0037709,160,188,181,202
FBgn0027950,609,676,630,682
FBgn0037712,58,68,45,41
FBgn0037717,295,324,196,182
FBgn0037718,1618,1868,1629,1949
FBgn0037720,1022,1242,1453,1557
FBgn0037722,306,337,323,326
FBgn0037723,722,755,1103,1190
FBgn0012344,0,2,0,3
FBgn0037727,62,98,100,96
FBgn0037728,906,991,928,1051
FBgn0028997,172,228,184,194
FBgn0037731,939,1075,1009,1152
FBgn0052939,939,1075,1009,1152
FBgn0003886,519,536,387,457
FBgn0002431,1515,1660,1689,1780
FBgn0037734,372,412,397,402
FBgn0051352,8395,8872,9751,10712
FBgn0053105,3,2,0,4
FBgn0260463,196,228,230,237
FBgn0069242,2263,2607,2585,2860
FBgn0037730,145,130,154,164
FBgn0037724,10,9,16,16
FBgn0003334,869,912,1120,1109
FBgn0005585,4864,5456,5707,6329
FBgn0037721,24,36,16,21
FBgn0027338,1324,1488,1661,1753
FBgn0037715,1354,1372,1432,1483
FBgn0037714,83,65,83,88
FBgn0037713,221,228,217,242
FBgn0037710,1501,1710,1663,1979
FBgn0024833,507,573,575,546
FBgn0037708,396,425,449,472
FBgn0037705,698,748,649,699
FBgn0000244,6648,6991,7554,8319
FBgn0014023,197,242,240,244
FBgn0003205,1269,1543,1379,1447
FBgn0014380,4124,4409,4941,5440
FBgn0037698,99,88,90,92
FBgn0037737,315,353,339,348
FBgn0051415,20,26,26,21
FBgn0005777,675,759,681,807
FBgn0037743,509,570,406,513
FBgn0037751,109,61,113,113
FBgn0037753,166,160,202,215
FBgn0037754,528,591,57,47
FBgn0037756,427,581,507,589
FBgn0037757,616,698,658,729
FBgn0037759,31,20,39,27
FBgn0037761,0,0,0,0
FBgn0037762,0,0,0,0
FBgn0037770,1026,1158,1183,1331
FBgn0037766,27,30,16,20
FBgn0037765,1,0,0,1
FBgn0037763,0,0,0,0
FBgn0037760,970,1044,1185,1310
FBgn0037758,647,642,626,715
FBgn0037755,1201,1272,1288,1430
FBgn0002868,815,1041,181,223
FBgn0037750,205,251,120,155
FBgn0037749,227,232,207,243
FBgn0024330,404,458,407,418
FBgn0037742,129,121,58,71
FBgn0037741,210,196,159,142
FBgn0037739,906,1025,778,895
FBgn0037736,7,5,2,6
FBgn0037772,2,1,2,1
FBgn0027524,288,351,317,369
FBgn0037778,94,120,116,119
FBgn0037780,512,588,507,523
FBgn0051410,6,5,2,6
FBgn0037783,0,0,0,0
FBgn0041105,150,181,191,221
FBgn0037788,3643,4003,3703,4289
FBgn0051477,12,17,20,17
FBgn0037796,12,7,13,16
FBgn0040238,6556,7367,7829,8571
FBgn0037794,262,254,296,304
FBgn0037792,530,584,643,669
FBgn0004889,2207,2329,3343,3302
FBgn0001321,130,115,147,136
FBgn0028734,1583,1689,1733,1844
FBgn0037786,4,2,3,0
FBgn0037782,0,0,0,0
FBgn0037781,122,119,144,178
FBgn0037779,388,438,430,446
FBgn0037777,67,101,69,93
FBgn0053208,2971,3316,3507,3735
FBgn0051407,49,43,67,55
FBgn0037773,205,226,222,190
FBgn0045473,1,2,2,2
FBgn0037797,0,0,1,0
FBgn0037801,5,9,9,12
FBgn0040078,389,442,410,488
FBgn0037809,150,168,125,144
FBgn0037810,1262,1191,1211,1164
FBgn0037811,288,248,331,263
FBgn0051406,49,35,32,22
FBgn0015396,3948,3798,4113,4077
FBgn0020379,108,125,107,127
FBgn0037807,4560,4701,5271,5859
FBgn0011970,9875,10655,9593,10313
FBgn0037802,122,171,182,185
FBgn0037798,0,0,0,0
FBgn0025879,2675,3460,1612,2084
FBgn0045443,150,140,189,189
FBgn0037815,323,357,348,403
FBgn0037817,844,913,995,1128
FBgn0037816,38,55,37,35
FBgn0024957,5164,5061,4954,5470
FBgn0037814,1052,1118,1102,1352
FBgn0037824,0,0,0,1
FBgn0037827,1,0,0,0
FBgn0037831,628,640,867,883
FBgn0037832,0,0,0,0
FBgn0017577,370,351,365,320
FBgn0037835,12,15,11,12
FBgn0037838,181,171,169,162
FBgn0037841,30,26,16,23
FBgn0037843,836,1079,904,888
FBgn0037844,122,117,149,128
FBgn0037848,1143,1439,948,1118
FBgn0037849,15,9,7,6
FBgn0011768,797,831,766,850
FBgn0037846,86,94,70,96
FBgn0037845,28,21,15,27
FBgn0037842,223,253,251,284
FBgn0037837,120,112,128,129
FBgn0037834,483,532,513,584
FBgn0010421,348,397,421,436
FBgn0051390,304,343,351,431
FBgn0051272,18,19,16,17
FBgn0037829,1,1,0,3
FBgn0004841,20,30,22,9
FBgn0037828,0,0,0,0
FBgn0037826,0,0,0,0
FBgn0051373,1,1,0,1
FBgn0051278,186,201,196,218
FBgn0051467,98,121,118,117
FBgn0051391,56,65,45,43
FBgn0037819,29,36,55,34
FBgn0037818,1,0,1,1
FBgn0037856,733,745,752,861
FBgn0037857,0,0,0,0
FBgn0037855,468,547,507,589
FBgn0042094,169,184,333,357
FBgn0037853,4898,5537,4531,4939
FBgn0037852,1473,1675,1342,1643
FBgn0037850,540,612,486,581
FBgn0037862,4,10,7,8
FBgn0040257,10,17,36,42
FBgn0040259,4121,4668,5277,5977
FBgn0027584,32,23,15,23
FBgn0040252,11,24,29,32
FBgn0037870,1,3,6,2
FBgn0037874,3703,3842,4100,4515
FBgn0037876,425,478,460,524
FBgn0020910,4833,4791,5506,6301
FBgn0037879,145,148,172,226
FBgn0037880,191,178,172,219
FBgn0037883,135,226,111,175
FBgn0037885,321,360,290,300
FBgn0051441,201,153,174,148
FBgn0051388,193,170,181,194
FBgn0037889,64,70,88,82
FBgn0037891,430,522,500,552
FBgn0037890,1310,1491,1345,1463
FBgn0037888,126,140,161,215
FBgn0037884,960,1104,788,965
FBgn0037882,260,352,170,222
FBgn0037881,336,361,323,349
FBgn0037878,346,372,388,319
FBgn0037877,366,442,385,437
FBgn0037875,438,478,490,592
FBgn0037873,535,613,557,662
FBgn0040250,3,10,8,7
FBgn0026315,720,959,1426,1677
FBgn0026314,21,19,16,12
FBgn0040255,2,4,3,3
FBgn0040253,0,0,0,0
FBgn0040251,48,74,141,164
FBgn0040256,408,393,1048,1051
FBgn0037860,1,1,0,0
FBgn0037892,136,138,134,140
FBgn0011774,942,1133,685,856
FBgn0037894,878,946,1022,1140
FBgn0037897,1225,1414,1124,1477
FBgn0037898,64,92,72,77
FBgn0037900,568,631,442,466
FBgn0037902,274,275,195,191
FBgn0046225,122,128,141,129
FBgn0037908,0,1,0,0
FBgn0037906,127,130,207,221
FBgn0051374,1,1,2,3
FBgn0037901,338,443,343,365
FBgn0037899,772,864,829,991
FBgn0037896,9,8,1,10
FBgn0037895,5,5,0,3
FBgn0026064,0,0,0,0
FBgn0026063,0,0,0,0
FBgn0037910,0,0,0,1
FBgn0037911,260,284,249,274
FBgn0037916,80,97,75,78
FBgn0037917,414,460,461,468
FBgn0037920,179,224,189,205
FBgn0037922,591,625,624,760
FBgn0042205,163,159,147,164
FBgn0037924,883,953,915,933
FBgn0037926,1500,1691,1490,1754
FBgn0037930,225,292,300,367
FBgn0037933,286,364,318,334
FBgn0037939,33,26,74,79
FBgn0025821,4,3,9,6
FBgn0037940,2,2,3,2
FBgn0037941,6,1,7,9
FBgn0037942,358,360,278,312
FBgn0037943,336,341,329,403
FBgn0037944,572,586,596,608
FBgn0002906,458,517,517,547
FBgn0037937,8,11,6,7
FBgn0042110,9,16,29,20
FBgn0037936,257,262,463,499
FBgn0037935,6,10,10,13
FBgn0037934,355,426,304,321
FBgn0011290,824,949,871,819
FBgn0037931,287,360,354,346
FBgn0037923,56,65,69,48
FBgn0037921,477,418,702,757
FBgn0051363,4352,4542,4702,4927
FBgn0037918,935,1019,1051,1181
FBgn0037915,11,14,16,12
FBgn0037950,4,18,13,21
FBgn0019624,342,360,390,442
FBgn0003312,3,7,10,10
FBgn0051368,461,515,481,533
FBgn0037964,0,0,1,0
FBgn0051211,822,954,879,1017
FBgn0013276,7345,8467,9990,8913
FBgn0000147,315,265,304,305
FBgn0037970,56,34,44,45
FBgn0037976,3,0,0,1
FBgn0037975,378,463,769,771
FBgn0037974,177,188,380,323
FBgn0037973,816,921,1451,1590
FBgn0037972,69,63,119,125
FBgn0013275,4030,4794,4596,4794
FBgn0037963,2324,2413,2807,3014
FBgn0037962,7,7,11,4
FBgn0037960,1571,1728,2345,2596
FBgn0037958,234,264,267,301
FBgn0037956,283,340,361,380
FBgn0037955,326,414,379,452
FBgn0051116,1296,1359,862,930
FBgn0025802,599,655,604,700
FBgn0037949,429,506,510,553
FBgn0017581,6832,7706,8028,8539
FBgn0037979,442,468,401,449
FBgn0037981,169,200,171,221
FBgn0037985,1,0,0,0
FBgn0051361,15,28,22,26
FBgn0011905,7131,8516,7582,8521
FBgn0037995,0,0,2,0
FBgn0037994,7,15,16,21
FBgn0037993,0,1,0,0
FBgn0037992,2,1,8,4
FBgn0037989,623,462,1432,1219
FBgn0037988,1,2,2,0
FBgn0037987,0,0,0,0
FBgn0051358,0,0,0,0
FBgn0037980,242,272,277,321
FBgn0037978,526,597,635,753
FBgn0051356,2493,2497,2753,3079
FBgn0038000,0,0,0,1
FBgn0038003,0,0,0,0
FBgn0038008,0,0,0,0
FBgn0003651,131,180,98,127
FBgn0038009,0,0,0,0
FBgn0038011,1,0,0,0
FBgn0038012,4,1,1,1
FBgn0038017,64,76,85,82
FBgn0010038,67,91,93,130
FBgn0010039,2585,2531,3451,3771
FBgn0010040,98,135,131,164
FBgn0010041,249,363,410,470
FBgn0010042,8,8,3,16
FBgn0010043,32,57,83,80
FBgn0010044,0,2,3,3
FBgn0038029,0,0,0,0
FBgn0053098,0,0,0,1
FBgn0038038,1295,1370,1145,1405
FBgn0038039,1608,1646,1411,1474
FBgn0082831,1185,1309,1185,1315
FBgn0038043,394,460,389,482
FBgn0038045,47,29,64,67
FBgn0038047,323,366,266,294
FBgn0038049,294,361,334,389
FBgn0043043,80,104,94,85
FBgn0029512,467,505,467,458
FBgn0038046,737,906,775,858
FBgn0004103,1508,1701,1583,1817
FBgn0038042,4,3,2,4
FBgn0000455,326,354,346,377
FBgn0038037,764,728,1214,1238
FBgn0038034,4289,4305,6326,7041
FBgn0038028,2,1,1,0
FBgn0038020,296,399,382,466
