Geneid,CHD1fem1,CHD1fem2,OREfem1,OREfem2
FBgn0037498,0,0,0,0
FBgn0001112,112,40,261,210
FBgn0011282,0,0,0,1
FBgn0037491,14,10,36,48
FBgn0037489,59,20,158,112
FBgn0037486,0,0,0,2
FBgn0037485,0,0,2,0
FBgn0037482,108,55,182,163
FBgn0037481,0,2,28,30
FBgn0037477,0,0,0,0
FBgn0051491,0,0,2,0
FBgn0037473,30,49,107,86
FBgn0014863,793,447,1393,978
FBgn0000071,0,0,9,6
FBgn0000439,130,68,415,235
FBgn0026162,0,0,0,0
FBgn0026164,0,0,0,0
FBgn0000003,7474,4225,7532,6268
FBgn0001077,2,0,2,0
FBgn0024289,404,577,589,890
FBgn0026563,65,44,162,134
FBgn0037463,0,0,2,0
FBgn0037464,0,0,6,4
FBgn0037466,346,205,611,497
FBgn0037468,146,144,530,341
FBgn0037469,34,15,75,50
FBgn0003884,2615,1708,5871,3788
FBgn0037470,114,51,238,220
FBgn0010774,188,119,443,337
FBgn0037467,101,108,356,325
FBgn0037465,79,45,243,126
FBgn0003339,85,80,294,182
FBgn0011904,0,0,0,0
FBgn0026163,0,0,0,0
FBgn0000166,0,0,0,0
FBgn0004053,0,0,0,0
FBgn0004054,0,0,0,0
FBgn0037448,266,127,496,343
FBgn0037449,0,0,10,6
FBgn0046873,3,7,33,25
FBgn0051482,0,0,0,0
FBgn0037462,0,0,0,0
FBgn0051286,1,0,3,4
FBgn0010355,750,452,1339,1153
FBgn0004777,5,0,8,6
FBgn0004780,0,0,0,2
FBgn0004783,0,0,0,0
FBgn0004782,0,0,0,0
FBgn0004781,0,0,0,0
FBgn0004779,0,0,2,2
FBgn0004778,0,0,0,0
FBgn0024912,6,2,30,32
FBgn0026566,48,31,143,72
FBgn0026565,8,6,51,33
FBgn0037461,0,0,0,0
FBgn0037460,0,0,0,0
FBgn0037456,0,0,0,0
FBgn0053202,345,182,770,533
FBgn0037454,39,24,148,75
FBgn0011919,0,0,0,0
FBgn0037429,0,0,0,2
FBgn0037430,0,6,2,0
FBgn0037431,4,2,16,18
FBgn0037432,0,0,25,20
FBgn0037433,92,64,202,178
FBgn0037435,15,6,28,41
FBgn0037436,0,0,4,2
FBgn0037439,42,29,171,152
FBgn0010282,62,34,153,122
FBgn0037442,504,260,1103,748
FBgn0037446,78,26,171,85
FBgn0037447,144,65,272,168
FBgn0037445,700,418,1669,1221
FBgn0037443,656,371,1755,1273
FBgn0037440,108,74,175,160
FBgn0037512,2,0,0,0
FBgn0037514,0,0,0,0
FBgn0037515,135,100,219,226
FBgn0037517,0,0,0,0
FBgn0037518,10,12,53,70
FBgn0051472,57,39,119,120
FBgn0051473,4,5,8,8
FBgn0037526,62,63,121,90
FBgn0024909,14,20,102,168
FBgn0014931,12,8,24,12
FBgn0002542,18,8,51,40
FBgn0000504,486,289,532,466
FBgn0037531,4,2,17,2
FBgn0014930,106,38,189,172
FBgn0004901,30,17,81,67
FBgn0037530,373,242,929,813
FBgn0037529,180,90,269,253
FBgn0037521,791,415,2157,1748
FBgn0037520,2,2,16,20
FBgn0037519,12,11,22,18
FBgn0042101,0,0,4,0
FBgn0042103,0,0,2,0
FBgn0042105,0,0,0,0
FBgn0042102,0,0,0,0
FBgn0042104,0,0,4,2
FBgn0037516,0,0,2,6
FBgn0037513,102,97,364,267
FBgn0010401,18,30,24,70
FBgn0037535,4,2,18,20
FBgn0037536,515,283,1083,899
FBgn0037538,18,24,60,96
FBgn0037540,12,26,33,26
FBgn0037543,3,13,11,30
FBgn0037546,138,64,375,281
FBgn0037547,5,6,6,2
FBgn0037548,46,50,36,30
FBgn0037551,141,95,337,223
FBgn0037552,38,20,89,67
FBgn0037553,105,75,109,117
FBgn0037554,92,87,213,180
FBgn0040528,11,4,32,31
FBgn0037556,223,106,642,569
FBgn0001138,78,45,179,107
FBgn0011959,0,0,0,0
FBgn0011960,0,0,0,0
FBgn0011961,0,0,0,0
FBgn0011962,0,0,0,0
FBgn0011963,0,0,0,0
FBgn0051583,0,0,0,0
FBgn0037544,40,8,29,37
FBgn0037541,1657,916,3217,2327
FBgn0001255,17,10,46,30
FBgn0037539,96,48,193,154
FBgn0040524,0,6,18,10
FBgn0037537,229,145,538,395
FBgn0037534,157,76,465,174
FBgn0037533,669,461,1642,1185
FBgn0014861,8,7,18,2
FBgn0010433,0,0,0,0
FBgn0037562,2,0,4,4
FBgn0051464,0,0,0,0
FBgn0051463,0,0,2,0
FBgn0037566,47,26,168,114
FBgn0037572,0,0,0,0
FBgn0037573,90,45,217,124
FBgn0062412,20,14,25,12
FBgn0037576,0,0,2,2
FBgn0037577,0,0,0,0
FBgn0004908,18,4,37,38
FBgn0037579,4,2,0,4
FBgn0037580,199,137,480,381
FBgn0037581,4,2,26,17
FBgn0020249,175,136,452,416
FBgn0037584,4,10,16,2
FBgn0037589,24,13,61,21
FBgn0037583,26,18,65,62
FBgn0037578,44,9,54,60
FBgn0040529,292,186,736,599
FBgn0003129,2,2,9,6
FBgn0037574,62,26,112,71
FBgn0037571,0,0,0,0
FBgn0037570,0,2,4,0
FBgn0037569,6,6,27,22
FBgn0037565,30,12,115,73
FBgn0037563,0,0,0,0
FBgn0037561,10,24,75,58
FBgn0010173,112,60,202,153
FBgn0037592,133,72,345,285
FBgn0051454,8,2,8,10
FBgn0051259,14,12,2,8
FBgn0037594,0,0,2,2
FBgn0051460,0,0,0,0
FBgn0037602,6,6,14,12
FBgn0037603,22,20,79,77
FBgn0037606,138,84,339,233
FBgn0037607,1742,1416,3918,3822
FBgn0012024,0,0,0,0
FBgn0012025,0,0,0,1
FBgn0012026,0,0,3,0
FBgn0000447,84,51,186,125
FBgn0024326,348,186,879,629
FBgn0037601,12,4,18,12
FBgn0012027,0,0,0,0
FBgn0012028,0,0,0,0
FBgn0026399,2,0,6,6
FBgn0051450,4,8,61,22
FBgn0051453,22,8,36,37
FBgn0037591,0,0,0,0
FBgn0037590,2,0,2,0
FBgn0037608,20,10,60,40
FBgn0037610,32,17,86,76
FBgn0037611,2,1,8,20
FBgn0037612,0,0,0,0
FBgn0037614,91,30,186,80
FBgn0037615,0,2,6,8
FBgn0037616,4,4,29,28
FBgn0037617,12,8,34,28
FBgn0037618,7,0,6,0
FBgn0037619,35,14,41,40
FBgn0037622,60,38,138,98
FBgn0037624,0,8,19,12
FBgn0037626,6,4,8,6
FBgn0037630,23,25,152,95
FBgn0037632,235,114,674,695
FBgn0037634,20,8,42,40
FBgn0040532,527,330,410,497
FBgn0037638,82,71,221,258
FBgn0011966,0,0,1,10
FBgn0037637,274,162,586,533
FBgn0037633,57,21,97,149
FBgn0053189,9,8,47,76
FBgn0053191,36,26,59,72
FBgn0037627,48,39,85,97
FBgn0037625,1,1,4,2
FBgn0037623,162,118,418,339
FBgn0037621,54,22,98,88
FBgn0037620,6,8,17,10
FBgn0037613,10,6,28,22
FBgn0001180,43,30,93,72
FBgn0053325,0,0,4,0
FBgn0037609,52,10,106,64
FBgn0037643,952,619,3694,3376
FBgn0037646,64,26,120,150
FBgn0027503,270,173,419,354
FBgn0037648,100,38,170,150
FBgn0037650,2,2,6,6
FBgn0037652,50,50,141,74
FBgn0037653,159,58,224,250
FBgn0037654,8,4,19,24
FBgn0037656,4,6,28,10
FBgn0037657,140,79,283,229
FBgn0028708,44,24,142,195
FBgn0037659,623,335,1414,958
FBgn0037661,6,6,15,6
FBgn0037662,14,8,691,464
FBgn0037664,0,0,10,4
FBgn0037665,0,0,12,10
FBgn0037666,0,0,0,2
FBgn0037667,4,2,14,4
FBgn0037670,12,6,36,14
FBgn0037671,610,379,1277,976
FBgn0010803,86,72,260,201
FBgn0037672,47,19,171,93
FBgn0037669,6,12,18,15
FBgn0037668,2,4,7,0
FBgn0000412,149,92,396,274
FBgn0003165,2276,1266,4988,4083
FBgn0037660,102,40,144,98
FBgn0010222,177,125,578,1091
FBgn0002932,31,25,143,92
FBgn0040534,16,8,36,18
FBgn0037655,603,356,1095,970
FBgn0026380,69,63,208,142
FBgn0051100,90,53,145,110
FBgn0037647,58,40,134,152
FBgn0037644,62,33,176,142
FBgn0037675,0,2,18,13
FBgn0037680,62,30,179,107
FBgn0037683,7,4,87,42
FBgn0037684,125,40,308,230
FBgn0037685,0,2,9,9
FBgn0037687,22,16,92,121
FBgn0037689,0,0,0,0
FBgn0011740,112,118,350,244
FBgn0037697,99,55,143,142
FBgn0037696,18,17,48,48
FBgn0037690,43,19,126,101
FBgn0003889,14,0,8,19
FBgn0037688,65,30,159,94
FBgn0037686,832,538,2748,2403
FBgn0000723,681,402,1310,1019
FBgn0037679,66,27,200,186
FBgn0037678,12,0,20,29
FBgn0037677,2,0,0,0
FBgn0037676,102,73,405,248
FBgn0037700,38,16,80,67
FBgn0014022,28,18,71,33
FBgn0037703,81,40,180,126
FBgn0037702,547,295,1068,914
FBgn0037707,42,33,79,82
FBgn0037709,72,50,214,214
FBgn0027950,55,61,132,86
FBgn0037712,92,32,176,155
FBgn0037717,225,126,331,231
FBgn0037718,152,127,394,310
FBgn0037720,500,228,844,721
FBgn0037722,12,12,52,29
FBgn0037723,4,7,31,23
FBgn0012344,134,101,442,314
FBgn0037727,48,58,182,191
FBgn0037728,181,115,590,518
FBgn0028997,6,0,4,2
FBgn0037731,0,0,1,4
FBgn0052939,0,0,0,0
FBgn0003886,0,0,2,2
FBgn0002431,1602,878,3797,3145
FBgn0037734,364,247,751,566
FBgn0051352,304,160,617,422
FBgn0053105,0,0,0,0
FBgn0260463,0,0,4,1
FBgn0069242,56,52,154,125
FBgn0037730,21,17,83,78
FBgn0037724,2,0,4,4
FBgn0003334,408,244,970,837
FBgn0005585,1065,800,2545,1820
FBgn0037721,91,28,132,125
FBgn0027338,581,366,1710,1319
FBgn0037715,207,96,594,333
FBgn0037714,51,46,191,190
FBgn0037713,14,10,38,40
FBgn0037710,36,24,115,106
FBgn0024833,162,118,389,307
FBgn0037708,18,23,39,66
FBgn0037705,2029,1008,3863,3323
FBgn0000244,429,238,991,788
FBgn0014023,20,34,96,83
FBgn0003205,149,116,476,379
FBgn0014380,64,38,95,79
FBgn0037698,1739,872,3768,2869
FBgn0037737,46,24,114,102
FBgn0051415,2,0,6,6
FBgn0005777,80,61,231,203
FBgn0037743,107,99,274,246
FBgn0037751,2,0,13,25
FBgn0037753,0,4,3,11
FBgn0037754,383,206,938,723
FBgn0037756,76,54,214,117
FBgn0037757,122,87,267,226
FBgn0037759,6,4,8,8
FBgn0037761,0,0,0,0
FBgn0037762,2,2,0,2
FBgn0037770,170,119,412,376
FBgn0037766,185,101,444,296
FBgn0037765,4,0,0,0
FBgn0037763,8,10,0,2
FBgn0037760,533,352,1120,730
FBgn0037758,504,319,699,582
FBgn0037755,95,48,247,170
FBgn0002868,359,236,863,690
FBgn0037750,8,6,28,32
FBgn0037749,55,16,36,63
FBgn0024330,57,20,141,71
FBgn0037742,14,2,20,25
FBgn0037741,60,45,114,103
FBgn0037739,36,20,68,62
FBgn0037736,377,187,981,726
FBgn0037772,0,4,13,10
FBgn0027524,40,15,67,43
FBgn0037778,25,8,24,22
FBgn0037780,113,54,217,200
FBgn0051410,0,0,0,0
FBgn0037783,1,0,0,0
FBgn0041105,19,8,32,20
FBgn0037788,69,55,308,157
FBgn0051477,1,0,2,0
FBgn0037796,193,124,473,284
FBgn0040238,263,148,513,430
FBgn0037794,24,4,62,56
FBgn0037792,23,18,80,45
FBgn0004889,688,374,1575,1172
FBgn0001321,8,4,4,7
FBgn0028734,340,196,648,431
FBgn0037786,2,0,0,0
FBgn0037782,0,0,0,0
FBgn0037781,2,0,3,6
FBgn0037779,30,28,43,40
FBgn0037777,21,10,46,54
FBgn0053208,4177,2193,5342,3781
FBgn0051407,6,4,10,10
FBgn0037773,14,2,10,8
FBgn0045473,0,2,10,14
FBgn0037797,0,4,9,4
FBgn0037801,64,124,365,312
FBgn0040078,30,21,77,84
FBgn0037809,12,2,29,14
FBgn0037810,72,44,209,175
FBgn0037811,2,0,6,7
FBgn0051406,0,0,0,2
FBgn0015396,80,65,181,178
FBgn0020379,335,199,727,548
FBgn0037807,54,39,56,31
FBgn0011970,0,0,0,0
FBgn0037802,6,6,8,16
FBgn0037798,16,6,64,34
FBgn0025879,123,79,426,247
FBgn0045443,12,4,22,8
FBgn0037815,5,10,30,24
FBgn0037817,54,36,52,54
FBgn0037816,22,18,44,36
FBgn0024957,429,372,840,1021
FBgn0037814,138,55,228,179
FBgn0037824,3,0,4,4
FBgn0037827,0,0,0,0
FBgn0037831,160,109,326,245
FBgn0037832,2,0,6,2
FBgn0017577,6,6,2,10
FBgn0037835,138,68,281,180
FBgn0037838,35,30,89,33
FBgn0037841,0,6,10,4
FBgn0037843,94,62,288,186
FBgn0037844,4,4,2,2
FBgn0037848,97,56,173,106
FBgn0037849,86,38,161,146
FBgn0011768,227,186,481,389
FBgn0037846,59,57,94,122
FBgn0037845,39,28,22,38
FBgn0037842,38,22,73,70
FBgn0037837,0,0,2,2
FBgn0037834,48,42,121,104
FBgn0010421,20,8,50,37
FBgn0051390,22,22,88,58
FBgn0051272,0,0,0,2
FBgn0037829,0,0,0,0
FBgn0004841,52,23,75,57
FBgn0037828,4,0,2,6
FBgn0037826,0,0,0,0
FBgn0051373,0,0,2,2
FBgn0051278,14,6,34,12
FBgn0051467,12,2,18,24
FBgn0051391,0,4,8,2
FBgn0037819,83,64,139,53
FBgn0037818,8,2,40,18
FBgn0037856,100,51,249,128
FBgn0037857,0,2,0,2
FBgn0037855,196,101,598,463
FBgn0042094,38,24,119,121
FBgn0037853,66,40,138,96
FBgn0037852,38,52,138,86
FBgn0037850,12,12,18,28
FBgn0037862,2,0,4,2
FBgn0040257,4,4,8,7
FBgn0040259,189,128,310,227
FBgn0027584,186,276,77,20
FBgn0040252,0,0,14,6
FBgn0037870,1,0,11,10
FBgn0037874,1048,767,3991,2947
FBgn0037876,34,20,92,62
FBgn0020910,4958,2992,13791,11834
FBgn0037879,0,6,4,13
FBgn0037880,22,31,66,35
FBgn0037883,6,6,22,14
FBgn0037885,18,10,22,24
FBgn0051441,14,6,25,26
FBgn0051388,60,32,107,107
FBgn0037889,2,0,12,7
FBgn0037891,648,386,1448,1054
FBgn0037890,99,84,365,235
FBgn0037888,0,0,1,0
FBgn0037884,102,66,213,187
FBgn0037882,14,14,44,24
FBgn0037881,134,89,228,166
FBgn0037878,16,10,70,51
FBgn0037877,83,69,279,245
FBgn0037875,102,69,156,120
FBgn0037873,302,148,704,482
FBgn0040250,2,0,0,6
FBgn0026315,24,15,32,50
FBgn0026314,82,50,246,158
FBgn0040255,4,0,10,14
FBgn0040253,2,4,4,2
FBgn0040251,2,2,4,2
FBgn0040256,26,10,571,253
FBgn0037860,0,2,2,0
FBgn0037892,22,34,83,44
FBgn0011774,31,10,58,41
FBgn0037894,97,58,214,113
FBgn0037897,538,341,593,502
FBgn0037898,2,8,22,8
FBgn0037900,45,47,114,56
FBgn0037902,91,41,160,160
FBgn0046225,82,59,250,192
FBgn0037908,65,29,146,120
FBgn0037906,84,60,135,66
FBgn0051374,170,92,447,295
FBgn0037901,60,38,103,80
FBgn0037899,182,117,698,574
FBgn0037896,125,90,127,157
FBgn0037895,43,38,74,50
FBgn0026064,0,0,0,0
FBgn0026063,0,0,0,0
FBgn0037910,0,0,0,0
FBgn0037911,37,26,98,81
FBgn0037916,0,0,0,0
FBgn0037917,198,106,405,366
FBgn0037920,22,22,51,42
FBgn0037922,0,0,0,0
FBgn0042205,14,4,58,18
FBgn0037924,161,101,344,233
FBgn0037926,110,91,364,269
FBgn0037930,39,39,89,70
FBgn0037933,29,26,67,64
FBgn0037939,12,4,0,0
FBgn0025821,6,0,0,0
FBgn0037940,0,0,0,0
FBgn0037941,114,87,206,163
FBgn0037942,44,22,57,40
FBgn0037943,73,48,181,140
FBgn0037944,355,231,782,647
FBgn0002906,63,35,139,86
FBgn0037937,22,4,2,9
FBgn0042110,14,2,8,2
FBgn0037936,251,62,1711,181
FBgn0037935,144,79,345,198
FBgn0037934,38,28,60,41
FBgn0011290,60,59,238,160
FBgn0037931,81,46,184,196
FBgn0037923,8,4,20,17
FBgn0037921,7,10,17,35
FBgn0051363,409,181,1204,881
FBgn0037918,498,252,1151,821
FBgn0037915,0,4,4,0
FBgn0037950,41,20,125,98
FBgn0019624,430,251,1346,879
FBgn0003312,8,8,8,10
FBgn0051368,110,76,297,236
FBgn0037964,9,6,53,22
FBgn0051211,1173,559,1679,1527
FBgn0013276,291,55,4650,4954
FBgn0000147,4,4,25,22
FBgn0037970,0,0,0,0
FBgn0037976,91,58,216,193
FBgn0037975,62,65,161,132
FBgn0037974,30,26,100,175
FBgn0037973,60,82,210,229
FBgn0037972,8,2,8,4
FBgn0013275,112,30,1930,1828
FBgn0037963,328,180,578,503
FBgn0037962,0,2,10,6
FBgn0037960,46,20,107,87
FBgn0037958,23,20,72,54
FBgn0037956,191,104,428,309
FBgn0037955,174,91,753,580
FBgn0051116,689,349,1692,1075
FBgn0025802,458,236,882,658
FBgn0037949,586,333,1167,968
FBgn0017581,8546,4543,26254,20873
FBgn0037979,200,83,376,436
FBgn0037981,16,6,38,28
FBgn0037985,0,0,0,0
FBgn0051361,133,84,318,236
FBgn0011905,0,0,0,0
FBgn0037995,2,0,2,0
FBgn0037994,4,0,3,2
FBgn0037993,119,51,285,198
FBgn0037992,4,0,16,28
FBgn0037989,746,435,1500,1074
FBgn0037988,0,0,0,0
FBgn0037987,0,0,0,2
FBgn0051358,0,0,0,0
FBgn0037980,34,12,87,81
FBgn0037978,77,49,153,97
FBgn0051356,0,0,0,0
FBgn0038000,0,0,0,0
FBgn0038003,0,0,0,0
FBgn0038008,12,0,14,10
FBgn0003651,455,274,1062,674
FBgn0038009,2,0,4,2
FBgn0038011,0,2,8,2
FBgn0038012,0,0,0,0
FBgn0038017,9,12,20,14
FBgn0010038,12,4,16,10
FBgn0010039,14,12,51,71
FBgn0010040,0,2,4,2
FBgn0010041,0,0,6,0
FBgn0010042,2,2,0,0
FBgn0010043,0,0,0,0
FBgn0010044,2,2,4,4
FBgn0038029,8,2,10,18
FBgn0053098,15,0,14,16
FBgn0038038,232,198,397,327
FBgn0038039,91,74,234,223
FBgn0082831,614,395,1512,1191
FBgn0038043,37,37,115,114
FBgn0038045,11,0,10,6
FBgn0038047,4,0,10,12
FBgn0038049,86,68,111,130
FBgn0043043,4,2,10,14
FBgn0029512,36,20,94,67
FBgn0038046,90,62,226,163
FBgn0004103,510,324,1423,1280
FBgn0038042,84,40,132,162
FBgn0000455,96,40,107,138
FBgn0038037,241,144,638,527
FBgn0038034,18,18,82,78
FBgn0038028,2,2,4,3
FBgn0038020,48,21,103,28
FBgn0042206,6,3,34,17
FBgn0038018,2,2,9,2
FBgn0038016,355,186,657,554
FBgn0038014,2,0,2,10
FBgn0038013,32,19,57,50
FBgn0051432,0,0,0,0
FBgn0038007,5,0,2,4
FBgn0038006,2,6,0,2
FBgn0038005,0,0,0,1
FBgn0011270,0,2,0,2
FBgn0038001,0,0,2,0
FBgn0037999,14,16,48,34
FBgn0037998,178,86,254,216
FBgn0037996,0,2,2,0
FBgn0038053,193,110,551,351
FBgn0038054,8,6,22,12
FBgn0038055,79,82,220,123
FBgn0038057,18,5,43,14
FBgn0051354,17,10,396,514
FBgn0013278,116,28,2849,2619
FBgn0013279,130,33,1799,2225
FBgn0028374,121,28,297,185
FBgn0038065,224,175,531,388
FBgn0260444,74,46,230,146
FBgn0042207,0,0,0,6
FBgn0038067,4,0,2,0
FBgn0038068,0,0,2,0
FBgn0038069,0,0,0,0
FBgn0038071,15,2,37,17
FBgn0038072,57,51,230,161
FBgn0038073,4,0,6,4
FBgn0038074,153,150,1403,257
FBgn0011745,160,108,232,197
FBgn0038079,6,2,33,18
FBgn0016693,434,245,852,655
FBgn0038080,16,7,33,21
FBgn0038082,2,2,2,2
FBgn0038084,55,27,96,58
FBgn0038083,24,24,0,2
FBgn0002719,1375,934,3346,1158
FBgn0002905,48,16,106,97
FBgn0038078,0,2,0,0
FBgn0051347,16,14,35,33
FBgn0005355,61,36,217,179
FBgn0001296,160,115,875,602
FBgn0038076,2,2,18,16
FBgn0026207,24,36,89,73
FBgn0038070,16,8,8,6
FBgn0005671,1802,1103,4433,2879
FBgn0052865,5,0,143,70
FBgn0013277,139,33,1285,1670
FBgn0038058,68,38,119,94
FBgn0038056,51,26,113,144
FBgn0038051,0,0,0,0
FBgn0038089,0,0,0,0
FBgn0038092,32,22,138,83
FBgn0038090,0,0,0,0
FBgn0038088,68,32,155,132
FBgn0051345,16,8,30,38
FBgn0038095,12,17,8,4
FBgn0038099,12,2,21,2
FBgn0038100,237,128,697,539
FBgn0051342,376,203,734,605
FBgn0038106,36,32,117,60
FBgn0038108,1167,760,2081,1830
FBgn0038109,6,2,41,32
FBgn0002354,18,8,42,14
FBgn0003308,288,275,746,650
FBgn0038113,10,16,49,34
FBgn0038114,0,0,0,6
FBgn0001217,14,2,222,242
FBgn0051157,0,0,78,103
FBgn0004666,26,18,66,53
FBgn0038118,15,8,71,48
FBgn0038115,74,57,332,297
FBgn0003450,0,2,0,0
FBgn0038110,26,23,47,78
FBgn0038107,0,0,0,0
FBgn0038105,140,118,214,202
FBgn0041710,32,23,38,37
FBgn0038102,10,12,17,32
FBgn0038098,41,24,128,80
FBgn0040493,136,113,245,214
FBgn0038097,0,0,4,6
FBgn0038122,0,0,2,0
FBgn0038124,0,0,0,0
FBgn0038125,0,0,0,0
FBgn0040551,26,17,65,78
FBgn0003598,237,106,439,397
FBgn0038130,55,2,38,33
FBgn0038133,0,0,4,6
FBgn0038135,0,0,0,0
FBgn0038136,0,0,0,0
FBgn0052473,212,88,456,374
FBgn0038140,14,12,56,25
FBgn0045442,0,0,0,2
FBgn0027610,307,219,956,621
FBgn0038142,6,13,33,7
FBgn0038144,3,4,7,0
FBgn0038145,894,576,3763,3615
FBgn0038148,0,0,2,0
FBgn0041711,22,6,28,30
FBgn0038151,0,0,2,0
FBgn0038150,0,0,0,0
FBgn0038149,186,116,365,245
FBgn0040553,0,0,0,0
FBgn0038147,162,111,123,78
FBgn0038146,74,68,203,197
FBgn0044511,7,4,30,17
FBgn0038143,1549,915,4273,2958
FBgn0023495,0,0,16,10
FBgn0038134,0,0,0,0
FBgn0038132,0,6,4,0
FBgn0038129,130,103,259,168
FBgn0038128,24,16,52,56
FBgn0000024,1801,1008,4123,3276
FBgn0038127,22,6,23,31
FBgn0038126,9,2,10,16
FBgn0038123,0,0,0,0
FBgn0038153,0,0,0,0
FBgn0000046,289,115,961,501
FBgn0038158,0,0,0,0
FBgn0038159,0,0,0,0
FBgn0051337,0,0,0,0
FBgn0038157,2,0,0,0
FBgn0040554,2,0,15,4
FBgn0004049,283,127,634,541
FBgn0038161,0,0,0,0
FBgn0038163,5,8,6,23
FBgn0015778,996,553,2841,2231
FBgn0038167,109,88,250,214
FBgn0024555,1020,630,2532,1805
FBgn0038170,22,22,39,60
FBgn0002937,348,135,366,264
FBgn0038173,40,12,56,48
FBgn0038179,58,22,91,77
FBgn0038180,20,19,11,25
FBgn0038181,720,307,1861,1130
FBgn0260464,0,0,0,0
FBgn0038183,24,16,68,38
FBgn0000454,197,150,445,307
FBgn0051588,0,0,0,0
FBgn0051331,0,0,0,0
FBgn0038172,200,150,572,708
FBgn0028487,206,117,444,388
FBgn0038168,134,118,350,252
FBgn0038166,22,25,103,75
FBgn0038165,359,192,761,543
FBgn0004237,296,180,633,530
FBgn0010258,5,4,8,11
FBgn0003060,0,0,2,6
FBgn0038160,41,18,298,159
FBgn0000576,16,14,29,26
FBgn0047199,0,0,0,2
FBgn0016672,466,359,1098,912
FBgn0015270,4,2,18,8
FBgn0038195,259,147,718,525
FBgn0038196,4,14,57,36
FBgn0038191,0,0,5,6
FBgn0038190,0,0,0,0
FBgn0038189,0,0,0,0
FBgn0038188,2,0,0,2
FBgn0008646,23,24,28,24
FBgn0038186,0,0,0,0
FBgn0051495,4,5,8,12
FBgn0002862,0,0,0,0
FBgn0038197,588,308,1524,1093
FBgn0038198,162,119,459,280
FBgn0038203,0,0,0,0
FBgn0038206,49,47,89,97
FBgn0038210,0,0,2,7
FBgn0027083,94,32,116,95
FBgn0038214,6,0,2,4
FBgn0038213,0,10,10,8
FBgn0027563,108,109,251,205
FBgn0053329,82,70,224,170
FBgn0053109,4,1,3,4
FBgn0051326,368,272,873,591
FBgn0038211,185,168,639,476
FBgn0011582,791,359,2156,1443
FBgn0051327,4,0,2,0
FBgn0051533,0,0,0,0
FBgn0038209,0,0,0,6
FBgn0038208,0,0,2,6
FBgn0038207,4,4,9,14
FBgn0010340,26,10,52,25
FBgn0020510,263,117,444,369
FBgn0038205,12,6,48,49
FBgn0038204,0,2,0,2
FBgn0038202,75,53,239,141
FBgn0038200,2,4,11,12
FBgn0038199,21,13,42,32
FBgn0011971,0,0,0,0
FBgn0038219,0,1,0,4
FBgn0038221,8,2,22,25
FBgn0004855,46,16,68,54
FBgn0051321,26,26,79,53
FBgn0013767,44,25,156,128
FBgn0011474,214,105,422,384
FBgn0038224,230,204,748,474
FBgn0003480,4,5,22,18
FBgn0038225,0,0,5,0
FBgn0024321,288,181,904,474
FBgn0038223,380,253,773,697
FBgn0003567,109,47,273,212
FBgn0038218,0,0,0,0
FBgn0038217,0,0,0,6
FBgn0038234,12,8,44,26
FBgn0038236,153,68,284,221
FBgn0038239,0,0,0,0
FBgn0038240,0,0,0,0
FBgn0038242,0,0,0,6
FBgn0020299,282,154,754,484
FBgn0038246,304,205,838,537
FBgn0013981,316,242,1243,1015
FBgn0038247,20,4,31,13
FBgn0038250,79,103,199,168
FBgn0038251,50,54,87,113
FBgn0038252,2,0,6,8
FBgn0025808,28,16,34,30
FBgn0038248,0,0,12,9
FBgn0003169,289,198,777,701
FBgn0038244,535,285,1228,1116
FBgn0004629,0,0,0,0
FBgn0038243,51,4,35,36
FBgn0051313,149,130,129,136
FBgn0038241,0,1,2,4
FBgn0038238,3,6,4,6
FBgn0038237,618,333,1455,1097
FBgn0038235,10,4,26,22
FBgn0038233,44,12,83,48
FBgn0038260,30,14,28,37
FBgn0038261,16,10,23,30
FBgn0038262,18,10,20,18
FBgn0038266,33,14,81,56
FBgn0038268,47,26,93,92
FBgn0067628,8,6,28,15
FBgn0067629,12,6,16,25
FBgn0038271,1726,956,3880,3284
FBgn0038273,0,3,2,0
FBgn0038275,9,4,28,20
FBgn0038279,110,30,172,130
FBgn0028662,456,230,908,686
FBgn0038277,2,2,1,8
FBgn0038274,15,21,80,68
FBgn0038272,44,28,62,89
FBgn0004597,14,16,48,49
FBgn0038269,96,56,199,144
FBgn0038258,69,43,150,123
FBgn0038257,145,157,451,343
FBgn0011217,628,381,2152,1608
FBgn0038256,185,140,508,426
FBgn0038280,0,0,55,31
FBgn0038281,0,0,0,0
FBgn0038291,0,0,0,0
FBgn0038292,33,6,69,85
FBgn0038296,90,60,150,119
FBgn0038294,2027,970,4059,2364
FBgn0038290,156,94,715,623
FBgn0038286,649,379,1832,1364
FBgn0038285,0,0,21,11
FBgn0038300,95,36,126,108
FBgn0038302,25,12,21,20
FBgn0038304,105,62,269,168
FBgn0038307,16,12,51,52
FBgn0014879,52,41,137,81
FBgn0016691,355,265,1108,881
FBgn0038312,22,10,64,33
FBgn0038313,3,8,11,6
FBgn0004117,460,276,1197,705
FBgn0038315,0,0,9,2
FBgn0026441,215,137,583,465
FBgn0000533,67,23,106,59
FBgn0038319,24,30,113,118
FBgn0038320,456,344,852,629
FBgn0021750,71,66,190,164
FBgn0051301,49,45,146,92
FBgn0038324,26,19,44,56
FBgn0038326,91,66,264,216
FBgn0038327,18,10,52,56
FBgn0038331,55,36,253,160
FBgn0041188,1644,857,3226,2433
