Geneid,CHD1male1,CHD1male2,OREmale1,OREmale2
FBgn0038611,2,0,6,2
FBgn0038610,275,107,467,383
FBgn0038608,2,2,0,2
FBgn0038606,806,362,1300,1047
FBgn0038603,1229,484,1608,1250
FBgn0038602,5,3,2,2
FBgn0038601,34,14,74,42
FBgn0010877,645,250,1343,1207
FBgn0038598,36,10,66,59
FBgn0038596,14,11,23,32
FBgn0038595,23,2,48,57
FBgn0038593,171,60,318,283
FBgn0038590,68,33,94,121
FBgn0038588,122,42,242,186
FBgn0038586,43,26,84,71
FBgn0038584,66,16,104,104
FBgn0038583,96,36,141,87
FBgn0011481,1208,522,1802,1735
FBgn0038579,4,4,4,6
FBgn0038577,34,24,90,78
FBgn0038569,198,75,406,348
FBgn0038612,2,1,4,6
FBgn0038619,28,13,47,30
FBgn0038626,2,0,2,0
FBgn0038627,17,10,47,48
FBgn0038630,4,0,2,4
FBgn0023083,1431,495,2100,1768
FBgn0038629,20,10,53,40
FBgn0004652,1665,687,2157,1901
FBgn0051122,590,229,916,716
FBgn0038621,92,41,86,72
FBgn0038617,349,157,588,483
FBgn0028670,910,483,1670,1385
FBgn0038613,15,4,0,4
FBgn0044871,71,39,99,72
FBgn0051231,10,0,0,4
FBgn0051229,28,18,66,46
FBgn0038638,51,25,123,97
FBgn0051230,4,2,4,0
FBgn0038640,90,29,137,96
FBgn0038641,331,113,381,414
FBgn0051226,0,0,2,0
FBgn0038653,1345,525,2265,2040
FBgn0038652,290,113,456,319
FBgn0038649,52,25,134,86
FBgn0024329,750,292,1372,1132
FBgn0038646,9,9,18,18
FBgn0038645,14,4,20,16
FBgn0038642,26,4,26,22
FBgn0038632,48,28,24,17
FBgn0051228,0,0,0,3
FBgn0038631,13,6,95,60
FBgn0038654,52,22,37,27
FBgn0038655,0,2,0,0
FBgn0003248,166,98,1893,1611
FBgn0038659,2785,1200,4537,4102
FBgn0022338,57,18,68,64
FBgn0038673,16,0,20,36
FBgn0038674,16,10,33,20
FBgn0027785,237,114,556,454
FBgn0015781,113,30,155,157
FBgn0038675,86,34,141,124
FBgn0038676,13,6,61,54
FBgn0004876,1207,538,2722,2296
FBgn0027784,32,13,64,56
FBgn0038672,67,34,177,144
FBgn0038666,92,46,152,127
FBgn0038665,97,49,194,198
FBgn0038662,279,132,498,437
FBgn0038660,31,10,80,88
FBgn0038658,0,0,0,0
FBgn0038656,0,0,2,0
FBgn0016120,925,362,1512,1427
FBgn0038679,1019,375,2367,1858
FBgn0038680,101,54,108,98
FBgn0038681,481,199,549,477
FBgn0002962,1,0,0,0
FBgn0010768,139,54,304,287
FBgn0038685,0,0,0,2
FBgn0051475,168,52,206,204
FBgn0025680,880,268,1033,847
FBgn0038692,57,22,67,46
FBgn0038695,8,0,63,61
FBgn0000463,124,50,196,158
FBgn0038694,0,0,1,0
FBgn0038693,6517,2333,11125,9317
FBgn0038691,0,0,0,2
FBgn0038690,0,0,0,2
FBgn0038686,204,75,308,254
FBgn0038678,40,24,76,74
FBgn0038700,21,6,10,4
FBgn0038701,20,8,24,26
FBgn0038702,20,4,18,15
FBgn0038704,260,118,339,302
FBgn0038705,4,0,24,18
FBgn0038709,8,2,8,12
FBgn0038708,15,6,24,8
FBgn0038706,63,18,179,156
FBgn0051244,14,2,10,10
FBgn0051245,4,4,6,2
FBgn0051404,4,1,4,2
FBgn0038697,4,2,10,1
FBgn0038715,6,0,8,6
FBgn0038716,55,40,98,67
FBgn0038718,3,0,6,0
FBgn0038719,4,4,6,6
FBgn0038722,105,26,185,154
FBgn0051220,3,4,12,13
FBgn0051219,2,1,8,18
FBgn0003011,100,44,388,393
FBgn0038727,0,0,0,4
FBgn0051216,84,44,114,91
FBgn0038732,58,42,26,38
FBgn0038733,383,117,377,275
FBgn0038734,12,10,10,12
FBgn0012004,0,0,0,0
FBgn0051215,0,0,0,0
FBgn0051471,0,0,0,0
FBgn0038731,14,3,16,27
FBgn0038730,4,0,2,0
FBgn0012003,0,0,0,0
FBgn0038725,521,196,1005,796
FBgn0038723,98,51,155,132
FBgn0038721,500,173,788,781
FBgn0038720,254,87,422,325
FBgn0051459,0,0,2,0
FBgn0038735,468,173,824,726
FBgn0038737,44,26,44,62
FBgn0038739,29,18,65,80
FBgn0038742,253,68,346,285
FBgn0014006,604,219,916,766
FBgn0038744,328,134,523,420
FBgn0038747,546,171,882,747
FBgn0038751,2,0,0,2
FBgn0038756,25,10,22,20
FBgn0051213,230,72,303,286
FBgn0038760,179,70,241,155
FBgn0038766,22,0,16,9
FBgn0038768,93,44,158,114
FBgn0038772,12,6,32,40
FBgn0038771,208,89,397,301
FBgn0040571,175,65,428,375
FBgn0038769,44,14,80,50
FBgn0038767,30,0,64,44
FBgn0038765,19,6,29,26
FBgn0038763,225,95,464,382
FBgn0038761,14,10,23,28
FBgn0038755,368,142,571,518
FBgn0021776,57,12,104,77
FBgn0038753,19,10,19,12
FBgn0038752,61,21,99,96
FBgn0038750,8,0,28,7
FBgn0038749,0,0,0,0
FBgn0038746,24,10,52,34
FBgn0038745,1135,454,1993,1630
FBgn0002940,103808,55909,210930,180584
FBgn0038741,22,14,34,39
FBgn0038740,536,190,675,634
FBgn0038738,525,145,703,538
FBgn0038773,0,0,0,0
FBgn0045471,0,0,0,0
FBgn0038774,113,30,181,165
FBgn0038775,81,6,104,74
FBgn0051206,0,0,0,0
FBgn0003249,3647,1849,5083,4135
FBgn0038788,173,62,259,195
FBgn0038789,0,2,0,0
FBgn0038790,0,0,0,0
FBgn0038796,27,10,29,21
FBgn0038798,0,0,4,0
FBgn0038799,261,129,302,237
FBgn0002869,0,0,0,0
FBgn0038797,0,0,0,0
FBgn0038795,213,71,338,252
FBgn0038787,312,114,599,578
FBgn0038784,0,0,2,8
FBgn0038783,4,2,8,6
FBgn0053192,6,1,10,17
FBgn0043457,95,65,177,160
FBgn0038803,689,229,1675,1498
FBgn0038806,78,23,149,130
FBgn0038808,22,27,60,60
FBgn0038810,194,77,314,275
FBgn0023097,1071,395,1888,1652
FBgn0038815,408,166,647,655
FBgn0001169,671,185,1049,963
FBgn0038816,1198,382,2032,1692
FBgn0038819,104,32,231,183
FBgn0051205,154,56,110,107
FBgn0004107,35,20,62,60
FBgn0051200,389,141,516,488
FBgn0051199,538,182,603,501
FBgn0038821,3,0,5,4
FBgn0024944,657,251,1313,1115
FBgn0038820,104,68,138,136
FBgn0038818,832,378,3044,2467
FBgn0028422,26,14,80,67
FBgn0051201,24,8,46,37
FBgn0015279,777,257,1370,990
FBgn0038814,76,33,109,68
FBgn0051506,6,0,1,2
FBgn0038811,49,23,64,53
FBgn0014029,214,87,354,294
FBgn0038809,1183,526,2274,2007
FBgn0023212,494,201,812,651
FBgn0038805,147,70,208,184
FBgn0038804,40,20,47,65
FBgn0040575,18,14,26,30
FBgn0038826,5812,2458,7153,7217
FBgn0019936,1223,541,2682,2472
FBgn0051223,40,6,60,38
FBgn0053094,1008,497,2608,2406
FBgn0038832,97,27,57,58
FBgn0038833,0,0,2,0
FBgn0038834,2189,1020,3772,3565
FBgn0028396,374,84,264,291
FBgn0044812,98,16,56,28
FBgn0038838,2,0,0,1
FBgn0044809,0,0,0,0
FBgn0051480,0,0,0,0
FBgn0051334,0,0,0,2
FBgn0051333,0,0,2,0
FBgn0038840,139,51,135,125
FBgn0038842,278,90,352,282
FBgn0051191,282,92,522,475
FBgn0044810,73,6,27,48
FBgn0038839,949,384,1169,1067
FBgn0038837,353,118,639,588
FBgn0027493,545,265,1336,1111
FBgn0038830,34,10,64,54
FBgn0038829,309,92,406,327
FBgn0038828,129,52,161,200
FBgn0038827,54,30,80,78
FBgn0046689,0,0,4,0
FBgn0051195,552,208,858,798
FBgn0013995,3332,1384,6522,5583
FBgn0038846,6,2,4,6
FBgn0026056,472,152,520,475
FBgn0038847,2,0,8,4
FBgn0038851,4,0,10,4
FBgn0038855,80,40,157,112
FBgn0028468,70,25,30,21
FBgn0015790,905,341,1228,1045
FBgn0010770,21,12,49,32
FBgn0038858,210,46,213,234
FBgn0038860,82,29,119,86
FBgn0038862,996,503,1449,1302
FBgn0038866,77,30,219,216
FBgn0038865,358,115,595,594
FBgn0038861,35,14,62,52
FBgn0038859,0,0,1,1
FBgn0038857,45,20,85,79
FBgn0038854,200,73,310,237
FBgn0038853,1513,523,2493,2183
FBgn0038852,6,6,11,15
FBgn0003257,82,26,109,48
FBgn0025865,429,194,515,568
FBgn0038850,18,6,24,19
FBgn0038849,38,10,50,35
FBgn0051207,117,24,128,92
FBgn0051189,36,8,12,14
FBgn0013812,844,545,823,730
FBgn0046763,165,75,391,333
FBgn0038845,78,10,119,125
FBgn0038868,150,52,197,173
FBgn0038870,85,34,173,210
FBgn0038873,18,4,70,38
FBgn0038874,86,42,152,101
FBgn0038876,82,28,153,154
FBgn0038879,0,2,4,4
FBgn0001234,86497,29829,106959,108751
FBgn0002781,1778,690,2951,2468
FBgn0004110,3,0,2,2
FBgn0004862,4,6,6,2
FBgn0038887,2,0,0,0
FBgn0011278,60,14,84,74
FBgn0008651,80,28,106,76
FBgn0038881,3642,1402,5374,4748
FBgn0038878,362,132,408,355
FBgn0038877,2484,995,4623,3819
FBgn0043012,111,71,165,227
FBgn0000527,347,71,1269,1124
FBgn0038871,53,20,69,62
FBgn0038869,43,14,46,79
FBgn0038889,169,82,242,173
FBgn0004863,6,4,50,8
FBgn0038890,610,236,886,747
FBgn0038894,2,2,10,2
FBgn0051176,153,49,331,192
FBgn0011766,1076,420,2003,1703
FBgn0038892,4,0,2,2
FBgn0002941,56,28,152,108
FBgn0038897,72,45,114,120
FBgn0051343,4,0,16,14
FBgn0051233,0,0,8,6
FBgn0051198,0,2,0,0
FBgn0038901,2,0,3,0
FBgn0038902,15,0,26,16
FBgn0041229,0,0,1,4
FBgn0051431,53,12,24,3
FBgn0064912,16,12,2,6
FBgn0038912,447,254,916,768
FBgn0053092,2,2,0,0
FBgn0051465,0,0,0,0
FBgn0038917,40,10,76,78
FBgn0038918,2,2,2,2
FBgn0038919,12,11,44,30
FBgn0038916,4,0,8,2
FBgn0038915,2,0,0,0
FBgn0038914,173,19,6,6
FBgn0051174,6,2,0,0
FBgn0038909,14,6,8,2
FBgn0015229,346,134,691,596
FBgn0045468,0,0,0,0
FBgn0045469,0,0,3,0
FBgn0045470,0,2,0,0
FBgn0013759,4576,1653,9014,7455
FBgn0003867,325,105,324,279
FBgn0038903,6,8,9,10
FBgn0027575,1380,553,2561,2094
FBgn0038921,30,4,39,30
FBgn0038923,37,16,89,84
FBgn0019957,630,300,1089,936
FBgn0038928,43,18,40,36
FBgn0038929,48,14,64,62
FBgn0040582,590,219,483,458
FBgn0038931,0,2,3,0
FBgn0038930,998,520,1207,1345
FBgn0038927,0,0,0,0
FBgn0038926,286,117,546,389
FBgn0038925,336,162,536,535
FBgn0038924,180,59,291,297
FBgn0019960,1199,468,1833,1586
FBgn0038922,948,526,1771,1425
FBgn0051164,2,0,2,0
FBgn0051163,1232,402,1953,1773
FBgn0038934,147,26,178,173
FBgn0038938,404,169,672,571
FBgn0038941,0,0,0,10
FBgn0038942,0,0,0,0
FBgn0038946,398,173,713,606
FBgn0038947,644,329,969,853
FBgn0260467,0,0,0,0
FBgn0038952,49,18,60,54
FBgn0038953,171,62,239,192
FBgn0038957,60,16,131,96
FBgn0051165,0,0,0,0
FBgn0051166,0,0,0,0
FBgn0038959,10,16,49,34
FBgn0038960,28,6,37,34
FBgn0038965,181,78,299,311
FBgn0038964,88,37,167,161
FBgn0038961,212,95,291,248
FBgn0051167,0,0,0,0
FBgn0051162,0,0,0,0
FBgn0038958,1,0,2,6
FBgn0038956,11,2,35,35
FBgn0038951,28,15,66,45
FBgn0038948,201,69,347,232
FBgn0038945,0,0,0,0
FBgn0038944,0,0,0,2
FBgn0038943,0,0,4,0
FBgn0051423,0,0,3,0
FBgn0051424,0,0,0,0
FBgn0038972,41,14,63,58
FBgn0038973,2,2,2,1
FBgn0038975,6638,2660,12483,10297
FBgn0038976,63,26,87,86
FBgn0038978,0,0,0,0
FBgn0038979,5,0,0,0
FBgn0053110,473,171,816,737
FBgn0028837,91,36,133,159
FBgn0038989,43,16,63,48
FBgn0051158,3932,1346,5226,4542
FBgn0038993,20,14,43,39
FBgn0051159,86,26,123,98
FBgn0051161,35,6,40,34
FBgn0020278,401,182,768,578
FBgn0051156,118,56,195,236
FBgn0014949,0,0,4,0
FBgn0053107,46,23,88,59
FBgn0024558,47,30,95,87
FBgn0038986,17,3,13,24
FBgn0038984,2133,890,3843,3425
FBgn0038983,158,50,419,332
FBgn0053099,12,4,20,2
FBgn0038981,286,124,765,614
FBgn0003676,357,137,887,664
FBgn0038977,5,3,12,14
FBgn0038974,69,10,65,50
FBgn0028688,247,115,367,297
FBgn0038968,237,91,311,371
FBgn0038967,2,0,1,4
FBgn0038966,107,45,190,226
FBgn0039002,4,2,3,0
FBgn0039004,85,35,101,80
FBgn0039006,58,35,45,43
FBgn0039008,54,36,70,65
FBgn0039017,14,4,41,34
FBgn0039019,50,14,82,72
FBgn0039025,245,119,465,415
FBgn0039026,5643,1907,8527,7378
FBgn0039027,0,0,0,2
FBgn0039029,0,0,2,2
FBgn0039028,20,2,143,116
FBgn0040588,105,45,172,158
FBgn0039024,675,248,958,784
FBgn0039023,289,119,408,313
FBgn0039022,292,96,486,330
FBgn0051139,0,0,0,0
FBgn0039016,449,182,558,450
FBgn0039015,12,4,14,16
FBgn0039013,54,10,90,84
FBgn0024958,422,156,617,568
FBgn0051151,1514,544,2844,2409
FBgn0039010,6,6,30,13
FBgn0039009,16,12,16,29
FBgn0039007,4,2,4,0
FBgn0039003,125,60,227,189
FBgn0046114,424,170,777,669
FBgn0017590,900,388,1428,1413
FBgn0039030,60,18,136,95
FBgn0051281,4,2,4,2
FBgn0039031,411,125,349,271
FBgn0039033,10,2,5,11
FBgn0039034,10,4,4,5
FBgn0039038,8,4,15,10
FBgn0039041,0,0,2,4
FBgn0039042,14,6,18,23
FBgn0041225,16,3,18,26
FBgn0027526,58,11,107,82
FBgn0039049,0,0,0,0
FBgn0039050,8,0,4,6
FBgn0039051,111,43,260,200
FBgn0039052,187,41,296,232
FBgn0039053,170,39,291,253
FBgn0039054,4112,1933,6336,5767
FBgn0039048,739,281,934,775
FBgn0053193,109,58,205,166
FBgn0039045,0,0,0,0
FBgn0039044,22,10,85,82
FBgn0039043,204,99,306,251
FBgn0039040,106,30,161,145
FBgn0039039,8,4,2,6
FBgn0039056,514,182,854,738
FBgn0039066,254,136,479,434
FBgn0039068,24,12,41,51
FBgn0025781,107,32,160,157
FBgn0039069,18,4,38,34
FBgn0039071,2,0,10,0
FBgn0039070,12,2,8,10
FBgn0039067,108,42,166,169
FBgn0039065,99,38,99,84
FBgn0039064,3560,1337,6140,5317
FBgn0011596,219,57,281,220
FBgn0039059,2,0,4,6
FBgn0039058,4,0,2,6
FBgn0004395,937,363,1526,1493
FBgn0051457,44,18,63,78
FBgn0051365,74,34,170,119
FBgn0039055,459,164,813,718
FBgn0024509,189,96,346,257
FBgn0002622,2645,1141,6380,5245
FBgn0051225,0,0,0,0
FBgn0039079,0,0,0,0
FBgn0039080,2,0,0,2
FBgn0039088,0,0,0,2
FBgn0039087,0,0,0,0
FBgn0039086,0,0,0,0
FBgn0039085,2,0,8,2
FBgn0039084,192,110,203,176
FBgn0039083,4,2,6,8
FBgn0039081,454,193,760,652
FBgn0039078,45,18,79,60
FBgn0039077,0,0,0,2
FBgn0051515,0,0,0,0
FBgn0039075,724,248,1152,916
FBgn0039073,165,78,102,93
FBgn0016119,474,303,869,862
FBgn0039089,413,190,780,614
FBgn0039098,28,14,8,2
FBgn0039099,80,54,60,77
FBgn0039101,16,4,43,44
FBgn0042106,4,4,27,16
FBgn0039102,724,251,1072,1001
FBgn0051148,0,0,0,4
FBgn0051413,0,0,0,0
FBgn0051414,146,41,161,150
FBgn0039106,4,0,4,4
FBgn0039107,0,2,4,0
FBgn0039109,244,120,387,327
FBgn0028684,224,84,335,302
FBgn0039111,20,6,50,44
FBgn0039112,415,184,710,725
FBgn0028475,272,101,426,328
FBgn0039110,194,58,337,241
FBgn0028691,247,109,419,342
FBgn0039108,4,0,0,0
FBgn0002922,0,2,0,0
FBgn0047351,0,0,2,0
FBgn0043005,108,64,198,164
FBgn0039104,0,2,0,0
FBgn0027512,665,207,1186,966
FBgn0051145,1626,759,3534,3128
FBgn0039094,308,76,273,241
FBgn0051143,0,0,0,0
FBgn0039093,2,3,25,12
FBgn0039092,4,0,12,14
FBgn0053337,0,0,0,0
FBgn0039091,0,0,12,2
FBgn0004187,304,665,374,261
FBgn0004186,415,827,598,436
FBgn0051141,0,0,0,0
FBgn0039125,44,25,74,78
FBgn0047114,4,4,6,6
FBgn0039128,0,0,2,0
FBgn0039130,92,34,124,133
FBgn0039132,285,139,447,380
FBgn0051140,4205,1635,7370,6311
FBgn0051451,16698,7135,30863,27567
FBgn0039136,307,65,390,307
FBgn0015795,879,439,1366,1242
FBgn0053108,29,16,34,47
FBgn0051184,22,13,21,18
FBgn0020647,2072,829,3060,2592
FBgn0039137,337,122,509,467
FBgn0039135,241,104,404,368
FBgn0005674,598,241,867,821
FBgn0039131,72,20,106,110
FBgn0039129,2,0,4,0
FBgn0015282,397,175,479,388
FBgn0039126,84,20,106,122
FBgn0016754,1404,497,2389,2011
FBgn0039124,4,2,6,4
FBgn0013347,112,60,209,184
FBgn0025574,661,278,1097,1031
FBgn0004185,8,1,51,6
FBgn0039139,24,14,42,18
FBgn0039141,373,137,552,457
FBgn0043455,53,26,80,87
FBgn0026576,963,427,1183,1012
FBgn0039145,0,2,0,2
FBgn0040283,436,165,674,682
FBgn0039147,2,4,21,12
FBgn0039149,45,19,56,75
FBgn0039152,245,135,91,84
FBgn0026317,485,226,818,665
FBgn0039154,10,0,32,13
FBgn0039155,182,54,223,195
FBgn0039156,176,53,353,237
FBgn0039158,32,12,41,50
FBgn0026598,33,16,54,41
FBgn0039161,90,23,81,67
FBgn0029503,80,30,97,116
FBgn0039165,120,72,221,220
FBgn0026257,19,4,38,29
FBgn0039170,14,0,16,20
FBgn0002863,0,0,0,0
FBgn0043884,11199,4352,18212,14757
FBgn0039172,114,54,194,152
FBgn0039169,334,112,517,418
FBgn0011725,567,204,982,810
FBgn0039167,196,101,378,323
FBgn0039163,87,20,132,114
FBgn0039160,94,53,147,154
FBgn0039159,18,16,42,22
FBgn0015765,49,22,62,74
FBgn0051133,26,8,44,51
FBgn0039153,50,36,69,74
FBgn0039151,1624,542,668,526
FBgn0039150,244,115,400,290
FBgn0053100,1153,507,1722,1769
FBgn0013343,2145,885,3554,3288
FBgn0001230,1406,360,20057,16770
FBgn0005649,1098,428,1747,1365
FBgn0039140,549,219,986,709
FBgn0051130,2,1,1,4
FBgn0019952,325,137,312,208
FBgn0039178,741,252,557,454
FBgn0011785,1074,388,2047,1814
FBgn0039183,131,34,154,164
FBgn0039184,0,0,4,0
FBgn0011581,499,254,1150,1062
FBgn0039187,1180,404,1800,1660
FBgn0053339,0,0,0,0
FBgn0053340,0,0,0,0
FBgn0039193,0,0,0,0
FBgn0053341,0,0,0,0
FBgn0039194,0,0,0,2
FBgn0039199,0,0,0,3
FBgn0039200,4,0,8,6
FBgn0000036,1730,689,2830,2721
FBgn0039198,2,0,2,4
FBgn0039197,4,0,0,0
FBgn0039196,0,0,2,2
FBgn0039195,4,2,0,2
FBgn0039192,0,0,0,0
FBgn0039190,0,0,0,0
FBgn0039189,20,8,35,14
FBgn0039188,136,30,179,119
FBgn0039186,945,315,1430,1334
FBgn0039182,164,52,325,289
FBgn0028471,488,204,765,683
FBgn0039180,4,2,4,2
FBgn0039175,127,46,182,180
FBgn0051128,0,0,0,2
FBgn0000039,251,102,504,420
FBgn0039201,6,4,24,20
FBgn0003134,716,368,1789,1599
FBgn0039203,50,22,44,49
FBgn0039204,98,32,234,170
FBgn0011845,0,0,0,0
FBgn0004188,0,4,0,0
FBgn0004189,0,0,2,4
FBgn0004190,0,0,2,3
FBgn0039213,908,370,1357,1131
FBgn0000139,119,38,345,303
FBgn0051126,29,10,42,28
FBgn0020018,86,28,112,125
FBgn0051125,76,18,104,91
FBgn0039214,2554,951,3918,3367
FBgn0046685,253,124,491,406
FBgn0039212,83,24,151,128
FBgn0039210,85,38,120,117
FBgn0039209,1821,708,3301,2950
FBgn0039205,53,14,29,22
FBgn0039202,20,10,10,19
FBgn0004118,303,153,359,338
FBgn0039217,1,4,2,1
FBgn0039218,20,4,32,30
FBgn0004885,2078,911,3115,2390
FBgn0003719,107,23,194,158
FBgn0000140,3,8,4,6
FBgn0040600,364,177,692,700
FBgn0039225,20,4,61,47
FBgn0039228,2,6,25,6
FBgn0039232,109,86,239,224
FBgn0013953,61,27,60,79
FBgn0039233,12,6,38,20
FBgn0039234,358,124,582,486
FBgn0039238,202,89,410,324
FBgn0013949,397,164,647,534
FBgn0039241,2973,777,4441,3775
FBgn0043799,30,12,39,37
FBgn0039244,52,22,60,77
FBgn0039246,0,0,0,0
FBgn0051382,0,0,0,0
FBgn0039249,233,80,276,251
FBgn0039250,8,8,19,19
FBgn0039251,0,0,8,0
FBgn0051416,0,0,0,0
FBgn0040601,12,2,2,8
FBgn0051121,203,47,324,302
FBgn0039240,805,286,1316,1092
FBgn0015625,8,2,23,19
FBgn0039239,24,8,53,60
FBgn0039237,0,2,2,4
FBgn0051105,10,6,27,18
FBgn0039235,0,0,4,6
FBgn0051119,122,35,167,157
FBgn0051357,227,96,293,326
FBgn0051118,158,69,281,325
FBgn0045980,28,10,69,43
FBgn0027617,6,0,10,12
FBgn0027539,140,60,271,221
FBgn0039227,450,182,888,621
FBgn0039226,158,78,311,262
FBgn0039224,2,2,4,8
FBgn0039223,265,151,467,456
FBgn0015591,146,53,235,180
FBgn0039219,91,45,202,148
FBgn0039252,409,194,588,468
FBgn0039254,178,58,241,221
FBgn0039257,790,235,1752,1551
FBgn0039258,31,17,61,38
FBgn0015240,280,112,527,478
FBgn0051115,41,6,52,59
FBgn0045866,167,112,244,227
FBgn0039264,5,0,2,0
FBgn0039265,105,42,268,224
FBgn0039266,409,196,906,893
FBgn0039270,40,14,28,44
FBgn0039271,7,2,26,28
FBgn0039272,26,4,24,28
FBgn0039274,27,10,31,25
FBgn0004897,8,0,10,6
FBgn0004898,6,4,4,2
FBgn0046214,353,110,668,493
FBgn0039282,706,304,1002,1109
FBgn0039283,80,38,215,155
FBgn0039280,0,0,0,0
FBgn0051510,409,148,764,726
FBgn0039277,434,158,658,657
FBgn0039273,42,24,73,68
FBgn0011336,484,183,688,608
FBgn0039269,138,38,213,205
FBgn0051111,10,10,48,34
FBgn0051109,80,23,100,101
FBgn0039261,467,187,694,635
FBgn0039260,713,336,1117,1055
FBgn0039259,44,16,76,52
FBgn0029157,893,364,1438,1147
FBgn0020626,912,358,1450,1132
FBgn0051108,265,87,419,320
FBgn0039286,107,32,182,169
FBgn0039288,0,0,0,2
FBgn0039290,390,157,854,686
FBgn0051106,0,2,18,9
FBgn0051103,162,73,307,272
FBgn0039293,116,31,154,124
FBgn0039297,14,12,55,39
FBgn0039298,630,332,153,147
FBgn0039299,53,32,4,10
FBgn0039301,18,7,24,22
FBgn0039302,2176,786,4076,3412
FBgn0039303,347,146,602,573
FBgn0039305,10,10,47,34
FBgn0039306,36,22,45,69
FBgn0039307,4,2,0,6
FBgn0039310,0,0,8,4
FBgn0051300,204,84,144,148
FBgn0051104,56,28,16,18
FBgn0039315,90,26,31,24
FBgn0039316,156,74,98,85
FBgn0039319,39,8,14,14
FBgn0051370,17,10,66,36
FBgn0051436,58,22,317,231
FBgn0028647,285,73,435,386
FBgn0027376,10,2,30,28
FBgn0039335,87,36,173,109
FBgn0039337,44,16,98,67
FBgn0039338,905,417,1579,1373
FBgn0039336,22,16,44,56
FBgn0039329,138,69,207,184
FBgn0039328,82,27,140,134
FBgn0045761,419,157,498,431
FBgn0039326,102,24,96,92
FBgn0039325,202,80,165,160
FBgn0039324,105,70,158,181
FBgn0039323,7,10,8,16
FBgn0051087,0,0,0,4
FBgn0051099,0,0,6,0
FBgn0039321,675,291,1055,929
FBgn0051288,42,24,16,15
FBgn0051097,8,4,7,32
FBgn0051102,116,34,105,140
FBgn0051098,189,78,182,138
FBgn0039312,49,30,32,34
FBgn0039311,38,0,125,88
FBgn0027090,206,107,467,391
FBgn0039304,70,20,86,86
FBgn0039300,1250,511,2291,2110
FBgn0000158,0,0,0,0
FBgn0039296,97,36,144,122
FBgn0039294,26,8,76,84
FBgn0039291,24,12,52,25
FBgn0022800,252,69,506,455
FBgn0039339,2,0,1,3
FBgn0039341,0,0,0,0
FBgn0039342,2,0,0,2
FBgn0039343,0,0,4,4
FBgn0011666,3536,1412,4632,4331
FBgn0039346,77,27,113,87
FBgn0039347,302,105,381,308
FBgn0039350,260,121,420,395
FBgn0027508,704,241,1418,1173
FBgn0039344,123,38,176,141
FBgn0040212,373,155,608,498
FBgn0039354,37,7,38,36
FBgn0039356,14,1,17,16
FBgn0039358,1538,671,2377,2040
FBgn0039373,0,0,0,0
FBgn0039374,0,0,0,0
FBgn0011273,0,0,0,0
FBgn0039376,2,0,4,2
FBgn0039379,86,32,132,107
FBgn0039380,448,190,935,964
FBgn0039381,284,114,511,511
FBgn0027865,485,202,634,678
FBgn0040602,0,2,0,0
FBgn0011668,0,0,0,0
FBgn0011669,0,0,0,0
FBgn0011670,0,0,0,0
FBgn0051093,0,0,0,0
FBgn0051380,2,0,0,0
FBgn0039371,2,0,0,0
FBgn0039368,0,0,0,0
FBgn0039367,0,0,0,0
FBgn0066101,1207,430,2731,2221
FBgn0051092,1218,468,2124,1884
FBgn0039360,91,38,177,155
FBgn0039359,1960,687,3307,2874
FBgn0039357,32,32,64,57
FBgn0039355,12,4,26,38
FBgn0028717,679,246,1506,1225
FBgn0039385,92,26,187,124
FBgn0039386,21,8,23,13
FBgn0039387,0,2,4,8
FBgn0051091,2,0,6,2
FBgn0051089,12,6,4,4
FBgn0039398,2,0,2,0
FBgn0000206,900,515,1452,1252
FBgn0002734,2,0,0,4
FBgn0002735,2,0,0,0
FBgn0002732,4,4,2,8
FBgn0002578,2,0,0,0
FBgn0002609,20,4,26,16
FBgn0002633,2,8,8,4
FBgn0000591,0,0,0,0
FBgn0001139,913,309,1416,1222
FBgn0039402,133,62,251,239
FBgn0039404,15,8,34,32
FBgn0039407,6,0,0,15
FBgn0039411,26,14,27,25
FBgn0039408,2,0,0,2
FBgn0039406,360,158,708,573
FBgn0039405,0,0,0,0
FBgn0039403,4,4,16,2
FBgn0028833,575,326,1106,922
FBgn0002629,1,0,2,0
FBgn0002592,20,8,17,5
FBgn0002733,46,4,66,50
FBgn0039395,2,0,0,0
FBgn0039413,24,20,45,55
FBgn0039415,96,47,43,8
FBgn0051323,163,64,193,203
FBgn0051086,0,0,0,0
FBgn0039419,767,353,1245,994
FBgn0039420,393,144,514,400
FBgn0000064,9111,3363,11428,10300
FBgn0039417,37,16,42,24
FBgn0039425,6,2,11,2
FBgn0051084,0,0,0,0
FBgn0042711,6,6,1,6
FBgn0042710,2,0,10,4
FBgn0039427,142,48,219,197
FBgn0039428,6,4,18,9
FBgn0039429,18,0,34,26
FBgn0039430,1449,591,2094,1816
FBgn0039431,555,265,1057,964
FBgn0023178,289,96,525,481
FBgn0039424,2,0,4,3
FBgn0039421,13,4,43,28
FBgn0039434,0,0,4,0
FBgn0039440,0,0,2,0
FBgn0039441,0,0,0,2
FBgn0051080,1,0,2,0
FBgn0051081,0,0,0,0
FBgn0039443,0,0,0,0
FBgn0039444,2,0,0,0
FBgn0040607,0,0,0,0
FBgn0039453,0,2,2,4
FBgn0039451,751,318,1321,1057
FBgn0039449,4,0,14,16
