Geneid,CHD1fem1,CHD1fem2,CHD1male1,CHD1male2,OREfem1,OREfem2,OREmale1,OREmale2
FBgn0039387,0,0,0,2,0,0,4,8
FBgn0051091,0,0,2,0,0,0,6,2
FBgn0051089,6,0,12,6,2,8,4,4
FBgn0039398,0,0,2,0,0,0,2,0
FBgn0000206,517,249,900,515,946,703,1452,1252
FBgn0002734,0,0,2,0,2,0,0,4
FBgn0002735,0,0,2,0,4,0,0,0
FBgn0002732,0,2,4,4,1,5,2,8
FBgn0002578,0,0,2,0,2,4,0,0
FBgn0002609,10,2,20,4,22,16,26,16
FBgn0002633,0,0,2,8,0,0,8,4
FBgn0000591,0,0,0,0,0,0,0,0
FBgn0001139,467,317,913,309,963,683,1416,1222
FBgn0039402,75,48,133,62,182,103,251,239
FBgn0039404,8,6,15,8,33,20,34,32
FBgn0039407,0,4,6,0,5,6,0,15
FBgn0039411,12,8,26,14,23,26,27,25
FBgn0039408,0,4,2,0,3,0,0,2
FBgn0039406,252,164,360,158,597,430,708,573
FBgn0039405,0,0,0,0,0,0,0,0
FBgn0039403,4,2,4,4,4,6,16,2
FBgn0028833,319,141,575,326,827,632,1106,922
FBgn0002629,0,0,1,0,2,0,2,0
FBgn0002592,6,4,20,8,12,2,17,5
FBgn0002733,35,12,46,4,44,42,66,50
FBgn0039395,2,0,2,0,0,0,0,0
FBgn0039413,18,4,24,20,27,10,45,55
FBgn0039415,101,32,96,47,24,8,43,8
FBgn0051323,55,37,163,64,144,93,193,203
FBgn0051086,0,0,0,0,0,0,0,0
FBgn0039419,521,221,767,353,833,493,1245,994
FBgn0039420,109,67,393,144,301,184,514,400
FBgn0000064,4467,2774,9111,3363,11052,11264,11428,10300
FBgn0039417,18,30,37,16,51,29,42,24
FBgn0039425,0,2,6,2,6,10,11,2
FBgn0051084,0,0,0,0,2,0,0,0
FBgn0042711,0,0,6,6,14,7,1,6
FBgn0042710,0,0,2,0,6,4,10,4
FBgn0039427,88,54,142,48,157,138,219,197
FBgn0039428,0,0,6,4,19,17,18,9
FBgn0039429,6,3,18,0,31,31,34,26
FBgn0039430,611,315,1449,591,1325,807,2094,1816
FBgn0039431,253,124,555,265,775,519,1057,964
FBgn0023178,75,45,289,96,200,144,525,481
FBgn0039424,0,0,2,0,0,6,4,3
FBgn0039421,17,4,13,4,36,24,43,28
FBgn0039434,0,0,0,0,2,2,4,0
FBgn0039440,2,0,0,0,0,0,2,0
FBgn0039441,0,0,0,0,2,2,0,2
FBgn0051080,0,0,1,0,0,0,2,0
FBgn0051081,0,0,0,0,0,0,0,0
FBgn0039443,0,0,0,0,1,0,0,0
FBgn0039444,0,0,2,0,0,0,0,0
FBgn0040607,0,0,0,0,0,0,0,0
FBgn0039453,2,2,0,2,0,2,2,4
FBgn0039451,389,215,751,318,770,586,1321,1057
FBgn0039449,2,0,4,0,10,10,14,16
FBgn0023179,960,603,2512,962,2314,1839,4256,3527
FBgn0039448,0,0,0,0,0,0,0,0
FBgn0039439,0,0,0,0,0,0,0,0
FBgn0039438,0,2,0,0,0,0,0,1
FBgn0039437,0,0,0,0,0,0,0,0
FBgn0039436,0,0,0,0,0,2,0,0
FBgn0039435,2,0,0,0,0,0,2,0
FBgn0039459,12,8,40,10,144,106,250,270
FBgn0001197,85,45,191,102,328,254,411,413
FBgn0002838,0,0,0,0,0,0,0,2
FBgn0039461,49,29,64,33,86,82,125,116
FBgn0004359,77,60,215,73,195,115,314,233
FBgn0039462,8,8,26,10,24,33,60,34
FBgn0039463,0,0,2,4,6,10,10,8
FBgn0039466,777,430,1666,548,1387,1020,2357,2058
FBgn0039467,5,4,13,8,31,13,19,24
FBgn0039469,0,0,2,0,2,0,0,0
FBgn0051077,2,2,2,2,2,0,9,0
FBgn0039471,0,0,4,0,0,2,6,0
FBgn0039470,4,0,2,0,2,0,10,2
FBgn0051076,0,0,6,2,14,4,4,4
FBgn0051075,181,157,815,168,327,380,540,456
FBgn0041224,0,0,4,0,4,12,16,2
FBgn0039465,445,246,875,338,1369,979,1977,1817
FBgn0039464,250,161,623,278,858,431,1080,967
FBgn0051070,0,0,0,0,0,0,0,0
FBgn0051071,0,0,0,0,0,0,0,0
FBgn0004510,37,30,86,16,76,84,84,94
FBgn0003267,4,0,8,0,2,16,9,18
FBgn0026562,623,429,990,506,1523,1070,1663,1348
FBgn0027889,10,6,37,8,18,29,65,42
FBgn0004842,3,2,12,2,22,16,38,27
FBgn0029170,39,32,104,42,65,28,46,53
FBgn0039479,31,32,47,20,74,81,111,96
FBgn0039482,4,4,2,0,4,12,4,4
FBgn0039483,49,46,137,80,209,133,228,189
FBgn0039485,32,34,56,46,22,19,54,40
FBgn0027574,50,23,121,27,159,195,178,157
FBgn0039489,12,21,46,16,32,25,61,43
FBgn0039490,8,2,11,4,4,2,6,14
FBgn0029155,639,405,1559,610,1404,948,2473,1990
FBgn0039494,99,72,147,40,229,189,364,270
FBgn0039495,54,22,87,32,122,70,229,193
FBgn0051065,5,2,2,0,10,10,14,11
FBgn0003482,0,0,0,0,0,0,0,0
FBgn0051068,67,40,153,74,123,166,189,162
FBgn0005696,10,12,30,12,17,17,26,16
FBgn0039498,12,9,12,2,23,22,33,44
FBgn0042111,123,69,237,87,275,230,407,327
FBgn0051064,323,236,909,306,774,667,1332,1276
FBgn0004197,24,6,33,8,38,28,39,37
FBgn0039492,560,324,1022,383,1633,948,2474,2002
FBgn0039491,11,4,15,4,9,2,12,8
FBgn0039488,32,15,24,18,24,33,47,40
FBgn0039487,37,16,74,28,42,44,63,94
FBgn0039486,28,20,32,16,28,22,47,30
FBgn0039481,28,12,37,4,22,31,31,28
FBgn0039480,12,3,21,6,24,19,50,18
FBgn0003495,137,79,217,73,312,196,484,446
FBgn0039478,24,12,29,6,32,46,65,50
FBgn0039476,0,0,6,2,2,2,0,1
FBgn0039475,2,0,0,0,2,0,2,1
FBgn0039474,2,0,2,0,0,0,10,10
FBgn0039473,4,0,6,0,0,0,0,0
FBgn0039472,0,0,0,0,0,2,5,6
FBgn0011289,129,81,356,112,361,314,577,484
FBgn0039504,0,0,0,0,0,2,0,2
FBgn0039505,32,12,78,20,90,55,151,147
FBgn0046247,169,97,400,164,447,290,668,602
FBgn0039508,251,145,425,140,391,364,729,513
FBgn0015737,462,311,981,322,844,700,1432,1248
FBgn0016061,665,306,1464,538,1459,1111,2210,2029
FBgn0039511,0,0,0,0,0,2,2,2
FBgn0039510,192,114,350,150,256,307,466,436
FBgn0040609,42,17,67,38,28,18,50,41
FBgn0039509,62,28,99,42,166,129,135,158
FBgn0039507,276,181,668,238,557,476,854,711
FBgn0002441,308,237,615,249,768,466,1283,1076
FBgn0039503,0,0,0,0,2,0,2,0
FBgn0010328,393,233,766,306,993,753,1342,1175
FBgn0010441,58,37,105,47,132,129,217,156
FBgn0039501,16,10,42,22,40,40,51,44
FBgn0039500,24,10,26,12,31,18,38,49
FBgn0039518,0,2,4,2,0,2,0,4
FBgn0039519,0,0,0,4,0,0,0,2
FBgn0039520,0,0,4,0,2,2,0,0
FBgn0039523,6,6,23,14,14,10,44,32
FBgn0046887,0,0,0,0,0,2,1,0
FBgn0046886,0,2,0,0,0,6,2,2
FBgn0046885,0,0,2,4,4,4,2,8
FBgn0040080,225,138,432,175,449,345,733,642
FBgn0039528,532,327,1222,552,1165,1040,2024,1964
FBgn0039527,43,51,124,40,85,60,138,126
FBgn0027492,1408,855,3410,1294,4346,3127,5159,5233
FBgn0039525,70,39,109,44,103,127,148,106
FBgn0004387,538,331,1088,379,1052,880,1689,1444
FBgn0039522,0,0,2,0,0,0,0,2
FBgn0039521,0,0,0,0,2,0,0,0
FBgn0005659,358,149,471,212,810,484,1149,990
FBgn0067407,1,1,8,2,2,1,5,9
FBgn0039551,14,9,24,6,50,28,58,50
FBgn0039552,12,8,49,18,26,22,77,56
FBgn0039555,86,50,154,61,206,154,235,223
FBgn0003279,5143,3589,6888,2642,13901,11782,11911,10040
FBgn0027579,403,219,629,227,1314,815,1596,1347
FBgn0039560,307,192,545,189,692,499,920,727
FBgn0039562,629,554,1279,370,1974,1926,2327,2050
FBgn0039564,65,105,102,50,307,133,443,367
FBgn0051054,0,0,1,0,2,0,2,0
FBgn0039566,86,56,143,70,166,125,254,215
FBgn0039568,0,0,2,0,0,0,0,0
FBgn0003890,221,181,407,172,797,659,921,733
FBgn0051131,0,0,0,0,0,0,0,0
FBgn0051253,0,0,0,0,0,0,0,0
FBgn0039565,0,0,0,0,0,0,0,0
FBgn0039563,30,10,44,18,96,40,112,77
FBgn0039561,443,222,770,365,1106,728,1511,1434
FBgn0039559,178,112,346,136,361,279,574,494
FBgn0051053,38,11,41,26,89,51,90,87
FBgn0039558,18,14,37,12,47,28,64,68
FBgn0039557,18,12,28,18,30,31,38,46
FBgn0053213,6,4,8,4,20,6,27,26
FBgn0039554,148,84,236,85,202,172,322,277
FBgn0002865,0,0,0,0,0,0,0,0
FBgn0004171,0,0,2,0,0,0,0,0
FBgn0039576,0,0,0,0,0,0,0,0
FBgn0039577,0,0,0,0,0,0,0,0
FBgn0039581,477,312,807,301,786,662,1294,1193
FBgn0039584,133,83,334,144,365,303,580,491
FBgn0039585,0,0,0,0,3,0,0,0
FBgn0013813,85,56,122,56,42,54,49,46
FBgn0039588,26,36,90,30,74,56,111,91
FBgn0003137,967,701,1208,523,4675,3919,5063,4331
FBgn0051051,24,8,79,19,63,70,122,112
FBgn0039580,114,64,298,81,295,259,555,481
FBgn0001215,756,467,1410,585,2152,1572,2415,2049
FBgn0039589,22,22,54,31,135,68,114,120
FBgn0039591,0,0,2,2,0,0,2,0
FBgn0053346,0,0,0,0,0,2,2,0
FBgn0039593,25,19,34,6,154,72,292,263
FBgn0039594,666,410,1362,605,2234,1133,2986,2732
FBgn0027655,1286,709,2120,738,1947,1577,3573,2889
FBgn0039599,0,0,0,0,0,0,0,0
FBgn0039598,0,0,0,0,0,2,1,0
FBgn0039597,0,0,0,0,0,0,0,0
FBgn0039596,0,2,2,0,0,0,0,0
FBgn0039595,7,2,6,4,25,21,56,31
FBgn0051050,0,0,0,0,0,0,0,0
FBgn0039590,900,545,1763,713,2009,1449,3660,2941
FBgn0026400,40,35,76,38,92,102,175,119
FBgn0000659,148,71,300,115,308,245,580,451
FBgn0039600,605,403,1219,489,1451,1164,1795,1652
FBgn0039602,114,69,246,87,235,219,357,266
FBgn0039609,227,156,395,124,662,539,1123,943
FBgn0039611,164,160,289,111,309,233,394,284
FBgn0039613,41,30,106,37,164,109,262,231
FBgn0027578,348,387,828,325,708,510,991,867
FBgn0039616,6,8,16,8,28,14,27,9
FBgn0039623,197,115,349,163,333,259,599,537
FBgn0041780,0,0,0,0,0,0,0,0
FBgn0039622,0,2,4,4,4,4,2,5
FBgn0039620,261,161,408,203,842,564,973,782
FBgn0039617,142,83,319,108,375,257,594,462
FBgn0053203,498,266,990,346,1491,1151,2693,2150
FBgn0039612,61,81,138,41,169,101,276,225
FBgn0015589,1459,886,3161,1183,3124,2530,5807,4698
FBgn0024273,301,167,529,184,552,427,845,668
FBgn0039601,72,42,208,76,127,91,217,194
FBgn0005642,164,123,306,122,318,248,480,396
FBgn0027873,32,40,78,34,87,60,145,117
FBgn0003093,930,583,2210,806,1935,1661,3095,2894
FBgn0039627,0,11,25,10,43,14,35,39
FBgn0039628,144,116,522,227,559,394,1129,875
FBgn0039629,78,51,187,63,592,350,747,627
FBgn0039630,0,0,0,0,2,0,0,0
FBgn0039631,42,22,92,41,137,138,164,122
FBgn0039633,2513,1372,4395,1511,4761,3636,7613,6128
FBgn0039635,603,416,1240,469,1390,1163,2065,1670
FBgn0039636,76,31,215,96,244,139,295,304
FBgn0039637,246,155,511,181,621,489,826,684
FBgn0028671,1016,666,2478,1102,2382,1887,4291,3610
FBgn0039640,37,51,134,53,167,117,234,200
FBgn0028692,441,270,825,376,988,930,1368,1201
FBgn0039644,310,181,502,191,496,300,762,674
FBgn0039645,21,4,41,19,67,51,127,96
FBgn0014427,263,230,523,177,586,551,676,601
FBgn0051044,34,11,117,34,141,63,79,125
FBgn0029176,4074,2598,4417,1644,10099,8380,7967,6721
FBgn0039654,68,30,131,53,130,110,239,153
FBgn0028476,668,315,1073,339,1110,929,2024,1742
FBgn0003525,8,2,4,0,18,10,4,12
FBgn0051445,267,278,576,248,459,421,559,447
FBgn0051427,14,3,19,12,16,9,24,16
FBgn0039656,83,79,207,63,94,90,236,174
FBgn0039655,4,2,7,0,8,7,12,11
FBgn0062442,138,84,287,121,387,270,440,406
FBgn0039651,0,0,4,4,4,4,6,5
FBgn0039650,6,6,10,0,14,20,18,22
FBgn0039647,738,445,1640,603,1898,1431,2911,2653
FBgn0041186,20,19,67,24,102,44,105,106
FBgn0041588,96,76,162,73,145,96,250,138
FBgn0039642,9,4,13,2,13,14,13,18
FBgn0039641,8,18,18,2,8,18,38,27
FBgn0039639,2,0,16,4,22,10,7,12
FBgn0039638,12,0,28,12,40,12,50,41
FBgn0005596,126,70,231,89,242,179,360,319
FBgn0039634,291,123,661,229,625,468,964,819
FBgn0039626,45,30,90,31,86,96,119,171
FBgn0039625,0,0,0,0,0,0,0,0
FBgn0039664,33,17,57,2,51,45,53,56
FBgn0039666,0,25,2,0,2,0,0,0
FBgn0039667,55,35,96,48,80,68,99,99
FBgn0039668,356,230,747,257,717,598,1274,1009
FBgn0039665,18,19,59,24,59,56,93,50
FBgn0040623,0,0,0,0,0,0,0,0
FBgn0039663,59,33,97,35,127,180,278,187
FBgn0015622,805,523,1547,637,3180,2766,3795,3330
FBgn0039659,0,0,0,2,2,0,0,0
FBgn0039669,0,0,0,0,0,0,0,0
FBgn0000492,126,58,159,34,316,241,252,179
FBgn0039674,278,172,464,189,508,468,740,526
FBgn0039677,0,0,0,0,2,0,0,0
FBgn0039678,167,277,2,1,8,16,0,0
FBgn0039679,0,2,2,1,0,2,2,0
FBgn0039680,16,14,34,14,26,30,46,38
FBgn0013972,579,344,1406,514,909,606,1708,1245
FBgn0039683,16,12,28,8,47,16,44,52
FBgn0039684,0,2,4,4,2,0,0,0
FBgn0039686,4,16,16,7,16,16,18,18
FBgn0024841,79,65,174,67,220,154,192,215
FBgn0042213,14,6,16,2,29,36,36,59
FBgn0039688,1140,657,2078,798,2796,2138,4003,3490
FBgn0039687,3,10,11,0,10,4,8,14
FBgn0039685,133,42,2154,711,126,44,703,625
FBgn0039682,1515,1318,3204,1414,2270,1394,2752,2248
FBgn0039681,68,46,186,70,135,99,214,233
FBgn0025457,38,23,109,33,81,55,132,69
FBgn0039673,17,8,33,14,59,73,54,72
FBgn0051041,0,0,0,2,2,0,0,0
FBgn0039671,0,0,0,0,0,2,0,0
FBgn0039670,0,0,4,0,2,2,0,0
FBgn0039689,30,36,98,62,90,50,123,88
FBgn0039690,52,38,121,63,214,183,225,200
FBgn0039691,46,29,94,38,139,94,144,115
FBgn0019972,67,67,170,41,162,113,289,219
FBgn0039698,42,31,142,33,100,105,157,119
FBgn0000247,710,428,1536,509,1285,1026,2150,1783
FBgn0039704,14,6,14,6,16,16,26,10
FBgn0039707,0,0,0,0,0,0,0,0
FBgn0039709,324,186,798,253,386,311,573,413
FBgn0051038,939,620,1660,774,2322,1525,3525,2960
FBgn0039719,2,2,6,0,6,6,8,18
FBgn0051036,64,30,118,48,256,166,338,276
FBgn0003357,0,0,2,0,0,2,4,0
FBgn0039723,37,39,129,27,60,64,139,111
FBgn0039727,379,210,724,206,575,515,920,801
FBgn0004622,75,56,185,65,117,104,199,194
FBgn0039726,57,18,85,30,104,100,110,112
FBgn0051040,82,43,183,58,168,136,294,203
FBgn0051202,16,8,29,4,8,17,22,17
FBgn0003358,0,0,0,2,0,0,2,0
FBgn0003356,2,0,0,0,0,0,0,0
FBgn0003861,11199,5921,19016,9130,26224,18532,41061,33045
FBgn0039722,116,60,222,89,178,138,187,240
FBgn0039718,8,5,13,3,35,15,40,42
FBgn0039712,60,45,168,56,200,151,250,226
FBgn0051032,4,4,10,0,10,4,10,14
FBgn0039710,65,32,136,52,148,115,211,184
FBgn0039705,96,57,149,68,179,130,258,180
FBgn0039703,353,132,363,175,199,197,113,128
FBgn0039702,31,14,57,24,40,20,55,80
FBgn0002924,6,16,23,8,16,15,30,26
FBgn0039697,382,254,780,310,1283,1047,1364,1091
FBgn0039696,66,82,197,76,175,141,275,260
FBgn0039694,18,17,75,7,59,63,124,66
FBgn0020235,767,468,1303,525,1865,1636,2489,1900
FBgn0027518,79,38,155,45,117,102,163,129
FBgn0027583,34,19,81,29,93,74,129,114
FBgn0039728,18,10,6,12,10,26,7,21
FBgn0039731,5,0,19,4,20,12,23,10
FBgn0039733,97,53,165,58,160,147,333,223
FBgn0039734,176,105,459,181,368,305,759,561
FBgn0016685,74,32,138,97,279,200,255,162
FBgn0026597,375,212,791,300,742,661,1230,1056
FBgn0003511,0,0,0,0,0,0,0,0
FBgn0003510,0,0,0,0,0,0,0,0
FBgn0003512,56,32,137,56,188,198,245,245
FBgn0039741,143,100,301,134,261,249,451,429
FBgn0039743,94,50,199,73,284,214,377,357
FBgn0039744,2,0,0,0,0,0,0,0
FBgn0260468,0,0,0,0,0,0,0,0
FBgn0039748,12,4,41,12,41,26,84,55
FBgn0039752,2,2,0,0,0,0,3,0
FBgn0039756,112,64,257,71,279,219,407,303
FBgn0039755,15,22,2,2,7,2,2,6
FBgn0039754,276,138,373,208,408,248,481,422
FBgn0039751,55,44,128,45,122,131,259,191
FBgn0051028,22,9,31,6,16,28,28,33
FBgn0051030,411,246,1053,470,835,716,1672,1410
FBgn0039749,11,8,28,2,30,28,50,49
FBgn0039747,12,6,39,18,33,29,61,44
FBgn0051029,12,10,12,6,6,2,4,0
FBgn0051025,2,2,4,2,6,1,3,8
FBgn0003479,13,8,18,2,22,24,53,32
FBgn0039742,13,14,42,10,36,30,78,55
FBgn0002626,1080,928,1612,647,4166,3441,2977,2769
FBgn0001280,14,16,28,22,50,50,56,56
FBgn0001281,0,0,0,0,0,0,2,0
FBgn0041102,0,0,0,0,0,0,0,0
FBgn0039740,16,14,61,14,65,51,91,59
FBgn0039739,0,2,0,0,2,0,0,4
FBgn0039737,2412,1781,4424,1718,6355,5249,6857,5625
FBgn0039735,20,13,40,14,97,64,95,68
FBgn0039732,12,4,14,2,9,22,24,34
FBgn0039730,90,43,131,87,176,116,170,162
FBgn0000032,50,30,105,48,140,83,166,168
FBgn0000280,0,0,0,0,0,0,0,2
FBgn0000279,16,35,42,6,0,0,0,0
FBgn0039760,0,0,2,0,0,2,0,4
FBgn0039761,0,0,0,0,0,0,0,0
FBgn0010113,1023,516,2192,826,3925,2899,5357,4855
FBgn0015221,1175,865,2352,998,2527,2066,3625,3042
FBgn0039765,12,12,18,8,38,20,82,46
FBgn0039768,0,0,2,0,0,0,0,0
FBgn0039767,220,132,384,112,395,320,550,449
FBgn0039766,0,10,27,4,19,22,16,33
FBgn0039764,30,24,68,30,57,51,74,67
FBgn0027544,0,0,0,0,0,0,0,0
FBgn0015222,1216,878,2720,1075,2649,1752,3909,3357
FBgn0051023,0,0,0,0,0,0,0,0
FBgn0051383,0,0,0,0,0,0,0,0
FBgn0039759,43,23,76,16,67,8,178,116
FBgn0039758,0,2,4,0,0,0,2,0
FBgn0039769,0,0,2,0,0,0,0,0
FBgn0039774,207,79,417,210,194,142,554,509
FBgn0039776,134,103,337,135,434,352,827,578
FBgn0260440,32,20,34,9,42,50,67,62
FBgn0039778,0,0,2,0,2,0,0,2
FBgn0039779,6,0,2,0,0,4,3,0
FBgn0039782,2,2,8,2,10,8,22,40
FBgn0039784,2,2,7,0,21,26,12,19
FBgn0082582,826,454,1599,736,2521,1925,3266,2887
FBgn0039787,0,4,8,2,6,4,13,16
FBgn0051019,57,53,140,38,107,97,157,140
FBgn0051021,0,0,0,0,0,2,0,0
FBgn0051017,0,0,0,0,0,0,4,0
FBgn0051015,0,0,0,0,0,0,0,2
FBgn0051013,0,0,0,0,2,2,2,3
FBgn0039792,0,0,0,0,0,0,0,0
FBgn0039790,254,163,488,259,529,492,896,751
FBgn0039789,112,72,186,90,265,136,471,297
FBgn0039788,0,0,4,2,8,0,6,4
FBgn0027654,383,191,941,421,1535,1079,2020,2024
FBgn0051524,0,0,1,0,4,6,4,2
FBgn0039783,1,0,0,0,2,1,4,6
FBgn0051014,6,2,8,0,8,17,24,20
FBgn0051371,10,4,18,4,24,12,40,37
FBgn0039780,4,2,11,0,16,16,16,14
FBgn0026190,6,2,14,6,33,33,64,54
FBgn0039777,0,0,0,0,0,0,0,0
FBgn0039773,69,57,160,71,164,166,259,171
FBgn0028646,872,546,1380,486,1814,1058,2599,2002
FBgn0039771,0,0,0,0,0,2,0,4
FBgn0039770,64,29,156,86,245,237,428,299
FBgn0039795,0,0,2,2,6,2,0,2
FBgn0039797,0,0,4,2,2,6,4,0
FBgn0039799,2,2,2,0,12,13,9,4
FBgn0039802,70,46,134,62,132,132,235,197
FBgn0027598,893,508,1823,627,1888,1339,2892,2350
FBgn0039804,42,14,67,24,92,86,155,133
FBgn0039805,14,14,42,12,28,23,30,38
FBgn0015032,19,7,34,12,48,35,77,86
FBgn0000416,2637,2021,5574,2338,7455,5959,10287,8478
FBgn0039809,34,18,59,26,267,222,325,273
FBgn0039808,281,125,595,231,852,715,1256,1060
FBgn0039807,36,34,91,35,120,67,112,104
FBgn0039806,16,0,10,0,2,20,14,6
FBgn0011739,568,355,1002,409,1378,1090,1968,1850
FBgn0039801,237,124,858,263,558,400,776,620
FBgn0039800,480,311,1029,443,2178,927,1789,1406
FBgn0039798,0,2,0,0,2,0,0,2
FBgn0051010,0,0,0,0,0,0,0,0
FBgn0000274,0,0,0,0,0,0,0,0
FBgn0039796,0,0,2,2,0,0,0,0
FBgn0039812,0,0,4,0,0,0,2,0
FBgn0010015,41,20,65,44,126,59,143,118
FBgn0016123,150,71,364,117,263,225,428,349
FBgn0024288,2,14,10,10,4,4,10,8
FBgn0039820,14,4,15,4,2,0,8,4
FBgn0039821,33,25,106,20,62,32,89,61
FBgn0039818,16,12,42,8,4,6,8,0
FBgn0039816,170,54,306,121,308,194,511,419
FBgn0002413,561,270,1092,449,1142,968,1762,1658
FBgn0010808,188,102,336,124,416,335,556,499
FBgn0004573,105,62,304,102,267,157,482,399
FBgn0051008,6,2,17,2,14,14,17,31
FBgn0062411,0,0,2,0,4,0,4,2
FBgn0039811,0,4,4,2,8,0,2,4
FBgn0039810,0,0,4,0,0,0,0,0
FBgn0013973,425,272,1089,396,1050,839,1742,1630
FBgn0004389,0,0,0,0,0,0,6,7
FBgn0039827,179,162,239,112,558,375,544,514
FBgn0039828,16,17,56,18,88,57,116,84
FBgn0039831,847,494,1738,715,1984,1508,2926,2464
FBgn0039835,6,6,12,6,28,45,38,19
FBgn0039838,0,0,0,0,2,2,0,0
FBgn0040628,0,0,0,0,0,0,2,0
FBgn0040629,2,2,12,0,0,0,0,0
FBgn0039839,2,0,0,2,0,0,2,0
FBgn0039840,0,0,2,0,0,2,0,0
FBgn0039836,0,6,14,6,14,21,46,30
FBgn0051005,99,70,138,68,209,159,243,211
FBgn0039833,6,0,8,0,8,7,8,6
FBgn0039832,1,0,4,0,2,6,4,5
FBgn0039830,2787,1811,5224,2377,8911,6395,9988,8930
FBgn0046696,3139,1406,6637,5109,19284,18299,27219,23990
FBgn0039829,8,2,12,8,18,23,18,20
FBgn0061476,2,2,8,2,0,2,6,11
FBgn0051004,10,10,14,6,32,20,68,40
FBgn0046332,4,0,5,0,2,2,6,4
FBgn0039844,487,309,1041,399,1346,947,1974,1755
FBgn0019990,213,166,432,172,471,544,748,622
FBgn0039850,0,0,0,0,0,0,0,0
FBgn0039851,2,0,4,0,2,2,0,4
FBgn0039852,0,0,2,2,2,4,2,2
FBgn0028968,302,200,595,270,853,790,1133,963
FBgn0003268,66,38,94,50,101,90,189,148
FBgn0039854,2,6,9,4,17,4,12,8
FBgn0039855,6,0,12,0,16,18,25,42
FBgn0039856,127,94,227,61,202,177,355,257
FBgn0039858,3823,2303,8060,2974,10253,8258,14090,12428
FBgn0039857,2180,1691,3330,1432,7184,6703,6121,5165
FBgn0043900,341,195,568,221,594,437,987,776
FBgn0039849,89,90,211,83,274,136,249,201
FBgn0039848,4,4,9,0,49,29,36,23
FBgn0039846,40,19,75,38,88,62,87,79
FBgn0051002,0,0,2,0,0,0,8,10
FBgn0051204,0,0,14,2,8,14,12,13
FBgn0039860,38,16,62,18,90,75,133,94
FBgn0039861,68,57,193,76,218,163,262,207
FBgn0039862,624,323,1359,525,1406,1108,2473,2079
FBgn0039863,599,357,1028,458,1141,868,1662,1416
FBgn0003870,646,415,1381,610,1836,1683,2266,2127
FBgn0039868,8,10,28,8,56,30,33,46
FBgn0000557,2411,1419,5797,2669,5584,4328,8997,7775
FBgn0039869,47,14,52,10,90,40,92,105
FBgn0039870,20,7,44,23,52,29,45,45
FBgn0022349,204,117,406,190,587,437,651,561
FBgn0039875,197,128,354,154,368,299,494,414
FBgn0005632,3057,1931,5660,2208,5561,4420,9038,7404
FBgn0027620,225,131,448,159,486,302,662,669
FBgn0039879,10,12,28,10,12,8,15,24
FBgn0039881,8,14,27,4,16,12,26,20
FBgn0039882,170,84,375,104,269,169,535,365
FBgn0039877,97,50,176,66,197,202,266,189
FBgn0039876,34,24,85,31,76,69,135,131
FBgn0003065,4,0,8,0,0,0,1,0
FBgn0039873,2,0,1,0,2,0,0,2
FBgn0017448,0,2,4,0,8,0,1,2
FBgn0039872,0,4,8,0,12,11,14,9
FBgn0000150,969,683,1504,550,2624,2173,2530,2131
FBgn0039867,12,10,22,11,29,32,47,50
FBgn0039864,90,48,170,122,137,73,132,109
FBgn0039859,9,6,12,2,13,6,19,14
FBgn0039883,2451,1378,5122,1785,5903,4495,9218,7986
FBgn0039886,47,12,59,13,112,84,141,135
FBgn0039887,11,0,6,0,4,4,25,26
FBgn0002780,168,117,280,118,502,312,533,478
FBgn0002645,494,281,1322,511,1927,1422,3303,3010
FBgn0040206,219,147,569,226,706,524,879,980
FBgn0011224,1578,765,3352,1320,4392,3129,5659,5104
FBgn0051616,0,0,0,0,0,0,0,0
FBgn0051615,0,0,0,0,0,0,0,0
FBgn0051754,1,0,1,0,0,0,0,1
FBgn0032956,286,143,642,252,657,654,915,883
FBgn0051619,781,502,1963,769,1757,1447,3484,3028
FBgn0032961,198,113,411,150,1006,1416,1089,1038
FBgn0003866,40,20,97,40,101,96,204,150
FBgn0051612,31,16,54,20,76,71,100,79
FBgn0032964,0,4,6,2,6,6,2,4
FBgn0000559,12165,7564,17530,7078,34908,28310,32999,28330
FBgn0032966,0,0,0,0,0,0,0,0
FBgn0032967,0,0,0,0,0,0,0,0
FBgn0032968,0,0,0,0,0,2,0,0
FBgn0051700,0,0,0,0,0,0,0,0
FBgn0051702,0,0,0,0,0,0,0,0
FBgn0032971,0,0,0,0,0,0,0,0
FBgn0032973,42,13,30,16,106,24,319,297
FBgn0025674,120,77,230,87,355,290,458,388
FBgn0032972,0,0,0,0,0,0,0,0
FBgn0040519,0,0,0,0,0,0,0,0
FBgn0051703,0,0,0,0,4,0,0,0
FBgn0051601,0,0,0,0,0,0,0,0
FBgn0032969,1,0,0,2,2,2,3,1
FBgn0032965,0,0,2,0,0,0,0,0
FBgn0032981,2,2,2,0,28,12,2,14
FBgn0042701,4,0,4,3,0,5,6,6
FBgn0032986,381,178,794,288,1118,1036,1221,1200
FBgn0032988,95,74,286,93,358,255,382,436
FBgn0039972,13,12,37,2,25,10,40,40
FBgn0032987,826,477,1176,679,2936,2435,2294,2358
FBgn0032979,225,130,529,202,570,457,846,721
FBgn0033047,0,0,0,0,0,0,2,0
FBgn0033050,170,80,231,83,262,232,378,302
FBgn0033055,94,69,231,114,253,167,385,345
