"","id","chr","strand","gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","FBgn0000042","chrX","+","Act5C",7400.73924444892,-0.425525836002156,0.0885330244758964,-4.8064079875415,1.53666155748922e-06,5.9145463072111e-05
"2","FBgn0000052","chr2L","-","Pfas",2278.46769167136,-0.738744528196557,0.136114704226172,-5.42736754560357,5.71912792481111e-08,3.04791024262169e-06
"3","FBgn0000064","chr3R","-","Ald1",7766.43728211557,0.317179665463775,0.091576956849209,3.46353139890905,0.000533134369386876,0.00975213611328963
"4","FBgn0000078","chr2R","+","Amy-d",1198.46762695346,1.29387212135493,0.149334871741613,8.66423298366407,4.54562934754835e-18,9.33116691066175e-16
"5","FBgn0000079","chr2R","-","Amy-p",927.991868063567,0.781712213807103,0.157754133629759,4.95525661243046,7.22348916790024e-07,3.01023975286369e-05
"6","FBgn0000100","chr3L","+","RpLP0",5787.37919440876,-0.353253280057408,0.0930976625616108,-3.79443769411106,0.000147978434108406,0.00320379090252282
"7","FBgn0000121","chr3L","-","Arr2",57358.621954517,-0.41300991422095,0.11186074947574,-3.69217903649503,0.000222340849899044,0.00458113070842175
"8","FBgn0000153","chr2L","+","b",423.620729229546,-1.01471028947831,0.184123366555405,-5.51103484832801,3.56730079410212e-08,1.99714794457687e-06
"9","FBgn0000250","chr2L","-","cact",1747.13535364414,-1.24597298194853,0.117447194481525,-10.6087930618431,2.71229941417539e-26,1.07377996450479e-23
"10","FBgn0000279","chr3R","+","CecC",13.9848689572696,7.93976838593091,1.69454788589111,4.68547891271637,2.79306056199368e-06,0.000100522975096428
"11","FBgn0000395","chr2R","-","cv-2",373.614782571455,0.703269623073114,0.200619928191536,3.50548237860841,0.000455780671238409,0.00859239581747919
"12","FBgn0000414","chr3L","+","Dab",4139.76384336505,-0.420740765526967,0.104350656444171,-4.03198963824505,5.53066261709683e-05,0.00137769427214648
"13","FBgn0000473","chr2R","-","Cyp6a2",3431.80072741728,-0.890711479433834,0.112448607351575,-7.9210538966391,2.35505822213391e-15,3.67687611159921e-13
"14","FBgn0000477","chr3R","+","DNaseII",266.427610137406,1.07348628415721,0.212210660383221,5.05858792493578,4.22372489630692e-07,1.88032090263302e-05
"15","FBgn0000504","chr3R","-","dsx",745.823091400235,0.697738627629912,0.159532234538495,4.3736529463677,1.22184570736732e-05,0.000373117346175393
"16","FBgn0000535","chrX","+","eag",2517.97456316309,-0.382168469272521,0.104634877927339,-3.65240039308793,0.00025980038223394,0.00522665560265559
"17","FBgn0000565","chr3L","+","MsrA",518.508143580343,0.807698692026738,0.161724647890066,4.99428320026875,5.90546879348383e-07,2.5081272634394e-05
"18","FBgn0000575","chr3L","+","emc",1580.71546807875,-0.624510269127741,0.117705683329692,-5.30569341650648,1.12245477176383e-07,5.60468970495588e-06
"19","FBgn0000592","chr3L","+","Est-6",954.4410835277,0.642637468773246,0.13183954341278,4.87439088560246,1.09144690924939e-06,4.33644766631882e-05
"20","FBgn0000667","chrX","-","Actn",1089.87261509505,0.451496955022936,0.12582422726505,3.58831494408349,0.000332822101142348,0.00648388926390673
